Placement State,Nationality,FY 2019,Cumulative Total
,Syria,39,39
,Turkey,1,1
,Vietnam,24,24
,Yemen,1,1
Utah,,463,463
,Afghanistan,9,9
,Burma,71,71
,Burundi,12,12
,Central African Republic,29,29
,Dem. Rep. Congo,255,255
,El Salvador,2,2
,Eritrea,38,38
,Ethiopia,6,6
,Guatemala,4,4
,Guinea,1,1
,Iran,1,1
,Iraq,4,4
,Ivory Coast,4,4
,Palestine,4,4
,Somalia,1,1
,Sudan,19,19
,Togo,1,1
,Uganda,1,1
,Ukraine,1,1
Vermont,,114,114
,Burma,15,15
,Burundi,8,8
,Dem. Rep. Congo,89,89
,Nepal,1,1
,Somalia,1,1
Virginia,,548,548
,Afghanistan,55,55
,Burma,10,10
,Burundi,2,2
,Colombia,6,6
,Dem. Rep. Congo,319,319
,El Salvador,25,25
,Eritrea,21,21
,Ethiopia,3,3
,Guatemala,4,4
,Iran,4,4
,Iraq,6,6
,Ivory Coast,2,2
,Nepal,1,1
,Pakistan,22,22
,Rwanda,7,7
,Sudan,11,11
,Syria,19,19
,Uganda,7,7
,Ukraine,24,24
Washington,,"1,947","1,947"
,Afghanistan,29,29
,Belarus,34,34
,Burma,93,93
,Burundi,11,11
,Cameroon,1,1
,Central African Republic,16,16
,Colombia,5,5
,Dem. Rep. Congo,75,75
,El Salvador,2,2
,Eritrea,89,89
,Ethiopia,8,8
,Georgia,25,25
,Guatemala,2,2
,Iran,18,18
,Iraq,25,25
,Kyrgyzstan,11,11
,Moldova,24,24
,Nepal,1,1
,Pakistan,4,4
,Republic of South Sudan,2,2
,Russia,35,35
,Somalia,16,16
,Sudan,9,9
,Syria,3,3
,Turkmenistan,15,15
,Ukraine,"1,392","1,392"
,Vietnam,2,2
West Virginia,,2,2
,Uganda,2,2
Wisconsin,,596,596
,Afghanistan,4,4
,Burma,258,258
,Burundi,5,5
,Central African Republic,2,2
,Dem. Rep. Congo,282,282
,Eritrea,3,3
,Iraq,6,6
,Somalia,11,11
,Sudan,2,2
,Syria,9,9
,Ukraine,13,13
,Vietnam,1,1
Total,,"30,000","30,000"
