Placement State,Nationality,FY 2010,Cumulative Total
,Somalia,119,119
,Sudan,11,11
,Tunisia,1,1
,Uzbekistan,15,15
,Vietnam,8,8
Louisiana,,321,321
,Afghanistan,15,15
,Bhutan,13,13
,Burma,101,101
,Cuba,66,66
,Dem. Rep. Congo,14,14
,Eritrea,16,16
,Ethiopia,5,5
,Iraq,70,70
,Somalia,12,12
,Sudan,2,2
,Vietnam,7,7
Maine,,303,303
,Burma,2,2
,Burundi,3,3
,Dem. Rep. Congo,19,19
,Eritrea,8,8
,Iran,7,7
,Iraq,93,93
,Russia,3,3
,Somalia,154,154
,Sudan,6,6
,Uzbekistan,3,3
,Vietnam,5,5
Maryland,,"1,084","1,084"
,Afghanistan,6,6
,Belarus,8,8
,Bhutan,269,269
,Burma,223,223
,Burundi,7,7
,Central African Republic,8,8
,Colombia,1,1
,Congo,1,1
,Cuba,1,1
,Dem. Rep. Congo,71,71
,Eritrea,121,121
,Ethiopia,37,37
,Iran,65,65
,Iraq,216,216
,Laos,1,1
,Liberia,6,6
,Moldova,2,2
,Palestine,5,5
,Russia,3,3
,Sierra Leone,5,5
,Somalia,14,14
,Sri Lanka (Ceylon),4,4
,Syria,1,1
,Ukraine,3,3
,Vietnam,6,6
Massachusetts,,"1,931","1,931"
,Afghanistan,10,10
,Belarus,22,22
,Bhutan,402,402
,Burma,285,285
,Burundi,1,1
,China,7,7
,Cuba,8,8
,Dem. Rep. Congo,70,70
,Eritrea,59,59
,Ethiopia,12,12
,Gambia,5,5
,Guinea,1,1
,Iran,8,8
,Iraq,627,627
,Kazakhstan,5,5
,Kuwait,1,1
,Liberia,10,10
,Lithuania,3,3
,Moldova,42,42
,Palestine,6,6
,Russia,27,27
,Rwanda,4,4
,Sierra Leone,6,6
,Somalia,250,250
,Sudan,6,6
,Togo,7,7
,Ukraine,29,29
,Vietnam,18,18
Michigan,,"3,192","3,192"
,Afghanistan,8,8
,Bhutan,295,295
,Burma,552,552
,Burundi,24,24
,Cuba,36,36
,Dem. Rep. Congo,121,121
,Egypt,4,4
,Eritrea,27,27
,Ethiopia,3,3
,Iran,10,10
,Iraq,"1,988","1,988"
,Moldova,2,2
,Palestine,1,1
,Russia,1,1
,Rwanda,7,7
,Somalia,64,64
,Sri Lanka (Ceylon),2,2
,Sudan,18,18
,Syria,4,4
,Ukraine,3,3
,Uzbekistan,2,2
,Vietnam,20,20
Minnesota,,"2,103","2,103"
,Belarus,12,12
,Bhutan,204,204
,Burma,797,797
,Cuba,5,5
,Dem. Rep. Congo,34,34
,Eritrea,34,34
,Ethiopia,83,83
,Iraq,181,181
,Kyrgyzstan,2,2
,Laos,12,12
,Liberia,14,14
,Moldova,8,8
,Palestine,6,6
,Russia,19,19
,Rwanda,4,4
,Sierra Leone,1,1
,Somalia,657,657
,Sudan,27,27
,Ukraine,3,3
Mississippi,,8,8
,Burma,4,4
,Dem. Rep. Congo,2,2
,Iraq,2,2
Missouri,,"1,276","1,276"
,Afghanistan,9,9
,Bhutan,179,179
,Burma,337,337
,Burundi,30,30
,Central African Republic,2,2
,Congo,9,9
,Cuba,107,107
,Dem. Rep. Congo,22,22
,Egypt,3,3
,Eritrea,47,47
,Ethiopia,19,19
,Iran,3,3
,Iraq,242,242
,Liberia,7,7
,Mauritania,5,5
,Russia,10,10
,Sierra Leone,7,7
,Somalia,198,198
,Sudan,14,14
,Ukraine,3,3
,Uzbekistan,10,10
,Vietnam,11,11
,Yemen,2,2
Nebraska,,818,818
,Bhutan,90,90
,Burma,528,528
,Burundi,6,6
,Cuba,5,5
,Dem. Rep. Congo,10,10
,Eritrea,1,1
,Ethiopia,2,2
,Iran,5,5
,Iraq,72,72
,Somalia,24,24
,Sudan,44,44
,Thailand,3,3
,Vietnam,28,28
Nevada,,562,562
,Afghanistan,6,6
,Bhutan,65,65
,Burma,7,7
,Burundi,4,4
,Colombia,2,2
,Cuba,217,217
,Dem. Rep. Congo,22,22
,Eritrea,75,75
,Ethiopia,10,10
,Iran,21,21
,Iraq,112,112
,Rwanda,2,2
,Somalia,6,6
,Sudan,8,8
,Vietnam,5,5
New Hampshire,,546,546
,Afghanistan,1,1
,Bhutan,385,385
,Burkina Faso (UVolta),1,1
,Burma,7,7
,Burundi,5,5
,Cameroon,4,4
,Dem. Rep. Congo,40,40
,Iran,1,1
,Iraq,95,95
,Somalia,5,5
,Ukraine,2,2
New Jersey,,795,795
,Afghanistan,2,2
,Bhutan,64,64
,Burma,268,268
,Cuba,233,233
,Dem. Rep. Congo,11,11
,Eritrea,5,5
,Ethiopia,6,6
,Honduras,20,20
,Iran,6,6
,Iraq,127,127
,Liberia,13,13
,Lithuania,1,1
,Pakistan,7,7
,Russia,19,19
,Sudan,8,8
,Syria,1,1
,Ukraine,4,4
New Mexico,,214,214
,Bhutan,27,27
,Burma,29,29
,Burundi,8,8
,Congo,14,14
,Cuba,30,30
,Dem. Rep. Congo,18,18
,Iran,2,2
,Iraq,63,63
,Moldova,3,3
,Somalia,16,16
,Sudan,4,4
New York,,"4,559","4,559"
,Afghanistan,25,25
,Azerbaijan,12,12
,Belarus,21,21
,Bhutan,"1,006","1,006"
,Burma,"1,608","1,608"
,Burundi,52,52
,Cameroon,1,1
,Central African Republic,1,1
,China,26,26
,Colombia,5,5
,Congo,9,9
,Cuba,73,73
,Dem. Rep. Congo,269,269
,Eritrea,158,158
,Ethiopia,20,20
,Georgia,1,1
,Iran,29,29
,Iraq,586,586
,Kazakhstan,1,1
,"Korea, North",1,1
,Kyrgyzstan,10,10
,Liberia,29,29
,Mauritania,8,8
,Moldova,7,7
,Pakistan,6,6
,Palestine,63,63
,Russia,37,37
,Rwanda,24,24
,Senegal,1,1
,Sierra Leone,5,5
,Somalia,331,331
,Sudan,31,31
,Thailand,1,1
,Ukraine,31,31
,Uzbekistan,21,21
,Vietnam,39,39
,Yemen,11,11
North Carolina,,"2,342","2,342"
,Afghanistan,4,4
,Bhutan,484,484
,Burma,787,787
,Burundi,1,1
,Cambodia,1,1
,Central African Republic,5,5
,Chad,7,7
,Colombia,5,5
,Congo,3,3
,Cuba,95,95
,Dem. Rep. Congo,74,74
,Eritrea,88,88
,Ethiopia,30,30
,Iran,12,12
,Iraq,253,253
,Kuwait,9,9
,Liberia,9,9
,Moldova,26,26
,Russia,3,3
,Sierra Leone,1,1
,Somalia,130,130
,Sudan,9,9
,Syria,1,1
,Uganda,1,1
,Ukraine,8,8
,Vietnam,294,294
,Zimbabwe,2,2
North Dakota,,473,473
,Afghanistan,3,3
,Bhutan,217,217
,Burma,8,8
,Burundi,5,5
,Dem. Rep. Congo,43,43
,Eritrea,7,7
,Ethiopia,12,12
,Iran,2,2
,Iraq,95,95
,Lebanon,2,2
,Liberia,4,4
,Rwanda,9,9
,Sierra Leone,3,3
,Somalia,44,44
,Sudan,16,16
,Ukraine,3,3
Ohio,,"1,966","1,966"
,Afghanistan,3,3
,Bhutan,632,632
,Burma,248,248
,Burundi,36,36
,Cuba,4,4
,Dem. Rep. Congo,57,57
,Eritrea,46,46
,Ethiopia,3,3
,Guinea,6,6
,Iran,9,9
,Iraq,414,414
,Jordan,2,2
,Kazakhstan,1,1
,Mauritania,14,14
,Pakistan,1,1
,Palestine,45,45
,Russia,3,3
,Rwanda,27,27
,Sierra Leone,1,1
,Somalia,318,318
,Sri Lanka (Ceylon),1,1
,Sudan,25,25
,Turkey,3,3
,Ukraine,23,23
,Uzbekistan,22,22
,Vietnam,22,22
Oklahoma,,158,158
,Burma,94,94
,Dem. Rep. Congo,1,1
,Iraq,51,51
,Liberia,1,1
,Russia,3,3
,Sudan,3,3
,Vietnam,5,5
Oregon,,"1,045","1,045"
,Afghanistan,10,10
,Belarus,5,5
,Bhutan,127,127
,Burma,204,204
,Cuba,11,11
,Dem. Rep. Congo,106,106
,Eritrea,14,14
,Ethiopia,9,9
,Iran,18,18
,Iraq,205,205
,Kazakhstan,2,2
,Kyrgyzstan,9,9
,Moldova,25,25
,Palestine,2,2
,Russia,17,17
,Somalia,228,228
,Ukraine,40,40
,Uzbekistan,8,8
,Vietnam,5,5
Pennsylvania,,"2,632","2,632"
,Afghanistan,18,18
,Bhutan,"1,190","1,190"
,Burma,508,508
,Burundi,13,13
,China,2,2
,Congo,3,3
,Cuba,44,44
,Dem. Rep. Congo,65,65
,Egypt,1,1
,Eritrea,57,57
,Ethiopia,16,16
,Gambia,1,1
,Iran,8,8
,Iraq,464,464
,Kazakhstan,5,5
,Liberia,41,41
,Moldova,6,6
,Palestine,47,47
,Russia,3,3
,Rwanda,2,2
,Sierra Leone,1,1
,Somalia,55,55
,Sudan,45,45
,Syria,4,4
,Ukraine,26,26
,Uzbekistan,7,7
Puerto Rico,,5,5
,Cuba,5,5
Rhode Island,,243,243
,Bhutan,73,73
,Burma,49,49
,Burundi,17,17
,Dem. Rep. Congo,5,5
,Equatorial Guinea,9,9
,Eritrea,40,40
,Ethiopia,1,1
,Gambia,1,1
,Iran,2,2
,Iraq,22,22
,Liberia,16,16
,Mauritania,7,7
,Russia,1,1
South Carolina,,132,132
,Afghanistan,10,10
,Belarus,2,2
,Bhutan,1,1
,Burma,68,68
,Eritrea,4,4
,Iran,8,8
,Iraq,33,33
,Palestine,5,5
,Somalia,1,1
South Dakota,,555,555
,Afghanistan,1,1
,Bhutan,118,118
,Burma,102,102
,Burundi,14,14
,Colombia,5,5
,Dem. Rep. Congo,59,59
,Eritrea,99,99
,Ethiopia,9,9
,Iraq,79,79
,Liberia,3,3
,Palestine,10,10
,Rwanda,2,2
,Somalia,20,20
,Sudan,34,34
Tennessee,,"1,605","1,605"
,Bangladesh,1,1
,Bhutan,211,211
,Burma,394,394
,Burundi,20,20
,China,1,1
,Colombia,13,13
,Cuba,73,73
,Dem. Rep. Congo,34,34
,Eritrea,58,58
,Ethiopia,9,9
,Gambia,1,1
,Iran,20,20
,Iraq,535,535
,"Korea, North",4,4
,Liberia,2,2
,Pakistan,5,5
,Palestine,16,16
,Russia,1,1
,Rwanda,5,5
,Somalia,175,175
,Sudan,15,15
,Uzbekistan,5,5
,Vietnam,7,7
Texas,,"7,920","7,920"
,Afghanistan,45,45
,Belarus,2,2
,Bhutan,"1,251","1,251"
,Burma,"2,252","2,252"
,Burundi,108,108
,Cambodia,7,7
,Cameroon,1,1
,Central African Republic,4,4
,Chad,16,16
,China,10,10
,Colombia,25,25
,Congo,30,30
,Cuba,341,341
,Dem. Rep. Congo,532,532
,Egypt,1,1
,Eritrea,411,411
,Ethiopia,70,70
,Gabon,1,1
,Iran,236,236
,Iraq,"1,556","1,556"
,Ivory Coast,1,1
,Kuwait,21,21
,Liberia,25,25
,Malaysia,2,2
,Mauritania,26,26
,Pakistan,11,11
,Palestine,205,205
,Rwanda,43,43
,Sierra Leone,5,5
,Somalia,526,526
,Sri Lanka (Ceylon),23,23
,Sudan,28,28
,Syria,5,5
,Thailand,1,1
,Turkmenistan,3,3
,Uganda,10,10
,Ukraine,2,2
,Vietnam,83,83
,Yemen,1,1
Utah,,"1,108","1,108"
,Afghanistan,6,6
,Bhutan,251,251
,Burma,226,226
,Burundi,11,11
,Congo,3,3
,Cuba,20,20
,Dem. Rep. Congo,68,68
,Eritrea,44,44
,Ethiopia,19,19
,Georgia,3,3
,Guinea,1,1
,Iran,43,43
,Iraq,191,191
,Liberia,1,1
,Palestine,19,19
,Rwanda,12,12
,Somalia,156,156
,Sri Lanka (Ceylon),6,6
,Sudan,24,24
,Vietnam,3,3
,Yemen,1,1
Vermont,,299,299
,Bhutan,187,187
,Burma,55,55
,Dem. Rep. Congo,16,16
,Iraq,14,14
,Somalia,27,27
Virginia,,"1,535","1,535"
,Afghanistan,30,30
,Bhutan,433,433
,Burma,127,127
,Burundi,1,1
,Central African Republic,5,5
,China,2,2
,Colombia,8,8
,Congo,2,2
,Cuba,58,58
,Dem. Rep. Congo,38,38
,Eritrea,63,63
,Ethiopia,10,10
,Gambia,1,1
,Iran,81,81
,Iraq,570,570
,Jordan,3,3
,Kazakhstan,3,3
,Liberia,2,2
,Pakistan,7,7
,Palestine,39,39
,Russia,6,6
,Sierra Leone,9,9
,Somalia,17,17
,Sudan,2,2
,Syria,1,1
,Ukraine,11,11
,United Arab Emirates,1,1
,Uzbekistan,1,1
,Vietnam,4,4
Washington,,"3,004","3,004"
,Afghanistan,3,3
,Belarus,5,5
,Bhutan,510,510
,Burma,824,824
,Colombia,7,7
,Congo,9,9
,Cuba,63,63
,Dem. Rep. Congo,84,84
,Egypt,2,2
,Eritrea,153,153
,Ethiopia,40,40
,Iran,91,91
,Iraq,596,596
,Kazakhstan,12,12
,"Korea, North",1,1
,Kyrgyzstan,6,6
,Moldova,116,116
,Palestine,9,9
,Russia,65,65
,Rwanda,10,10
,Somalia,228,228
,Sudan,5,5
,Togo,2,2
,Ukraine,119,119
,Uzbekistan,9,9
,Venezuela,3,3
,Vietnam,32,32
West Virginia,,13,13
,Burma,3,3
,Iraq,10,10
Wisconsin,,832,832
,Afghanistan,5,5
,Belarus,1,1
,Bhutan,60,60
,Burma,368,368
,Burundi,3,3
,China,3,3
,Cuba,7,7
,Dem. Rep. Congo,26,26
,Eritrea,50,50
,Ethiopia,3,3
,Iraq,127,127
,Laos,18,18
,Palestine,60,60
,Rwanda,7,7
,Somalia,67,67
,Sri Lanka (Ceylon),1,1
,Sudan,15,15
,Vietnam,11,11
Total,,"73,311","73,311"
