Placement State,Nationality,FY 2012,Cumulative Total
,Ethiopia,3,3
,Gabon,1,1
,Iran,6,6
,Iraq,194,194
,Ivory Coast,2,2
,Liberia,3,3
,Nepal,5,5
,Pakistan,16,16
,Palestine,7,7
,Rwanda,13,13
,Somalia,132,132
,Sri Lanka (Ceylon),3,3
,Sudan,47,47
Louisiana,,187,187
,Afghanistan,2,2
,Burma,102,102
,Congo,1,1
,Cuba,5,5
,Dem. Rep. Congo,14,14
,Eritrea,4,4
,Ethiopia,7,7
,Iraq,31,31
,Kuwait,3,3
,Somalia,18,18
Maine,,203,203
,Afghanistan,3,3
,Burma,1,1
,Burundi,1,1
,Dem. Rep. Congo,8,8
,Eritrea,1,1
,Ethiopia,1,1
,Iran,1,1
,Iraq,78,78
,Somalia,103,103
,Sudan,6,6
Maryland,,"1,239","1,239"
,Afghanistan,1,1
,Belarus,5,5
,Bhutan,466,466
,Burma,353,353
,Burundi,1,1
,China,1,1
,Colombia,3,3
,Congo,4,4
,Cuba,9,9
,Dem. Rep. Congo,18,18
,Eritrea,97,97
,Ethiopia,25,25
,Iran,45,45
,Iraq,145,145
,Pakistan,17,17
,Palestine,3,3
,Russia,3,3
,Rwanda,4,4
,Somalia,8,8
,Sudan,27,27
,Tibet,4,4
Massachusetts,,"1,541","1,541"
,Afghanistan,8,8
,Belarus,3,3
,Bhutan,506,506
,Burma,143,143
,Burundi,4,4
,Central African Republic,15,15
,Chad,2,2
,Congo,6,6
,Cuba,4,4
,Dem. Rep. Congo,69,69
,Eritrea,59,59
,Ethiopia,9,9
,Gambia,2,2
,Iran,10,10
,Iraq,401,401
,Jordan,1,1
,Kyrgyzstan,9,9
,Liberia,1,1
,Moldova,21,21
,Morocco,1,1
,Nepal,1,1
,Pakistan,4,4
,Russia,4,4
,Rwanda,13,13
,Somalia,206,206
,Sudan,20,20
,Uganda,2,2
,Ukraine,5,5
,Vietnam,12,12
Michigan,,"3,594","3,594"
,Bhutan,317,317
,Burma,539,539
,Burundi,3,3
,Congo,5,5
,Cuba,12,12
,Dem. Rep. Congo,74,74
,Eritrea,7,7
,Ethiopia,1,1
,Iran,8,8
,Iraq,"2,484","2,484"
,Liberia,1,1
,Moldova,2,2
,Nepal,1,1
,Palestine,3,3
,Rwanda,5,5
,Saudi Arabia,1,1
,Somalia,98,98
,Sri Lanka (Ceylon),4,4
,Sudan,16,16
,Syria,1,1
,Ukraine,4,4
,Uzbekistan,8,8
Minnesota,,"1,738","1,738"
,Belarus,21,21
,Bhutan,191,191
,Burma,691,691
,Dem. Rep. Congo,11,11
,Eritrea,19,19
,Ethiopia,95,95
,Iran,15,15
,Iraq,81,81
,Laos,8,8
,Liberia,8,8
,Moldova,2,2
,Somalia,573,573
,Sudan,17,17
,Ukraine,6,6
Mississippi,,8,8
,Afghanistan,3,3
,Burma,3,3
,Dem. Rep. Congo,1,1
,Somalia,1,1
Missouri,,"1,065","1,065"
,Afghanistan,4,4
,Bhutan,271,271
,Burma,245,245
,Central African Republic,7,7
,Cuba,23,23
,Dem. Rep. Congo,28,28
,Eritrea,36,36
,Ethiopia,31,31
,Iran,10,10
,Iraq,170,170
,Liberia,1,1
,Nepal,1,1
,Somalia,202,202
,Sudan,29,29
,Ukraine,7,7
Montana,,1,1
,Iraq,1,1
Nebraska,,764,764
,Bhutan,269,269
,Burma,398,398
,Congo,1,1
,Cuba,3,3
,Ethiopia,3,3
,Iran,4,4
,Iraq,55,55
,Somalia,24,24
,Sudan,7,7
Nevada,,470,470
,Bhutan,52,52
,Burma,59,59
,China,1,1
,Cuba,124,124
,Dem. Rep. Congo,35,35
,Eritrea,35,35
,Ethiopia,4,4
,Iran,50,50
,Iraq,67,67
,Somalia,34,34
,Sudan,5,5
,Togo,4,4
New Hampshire,,363,363
,Bhutan,241,241
,Burma,31,31
,Burundi,7,7
,Dem. Rep. Congo,43,43
,Iraq,32,32
,Rwanda,7,7
,Somalia,2,2
New Jersey,,279,279
,Bhutan,21,21
,Burma,40,40
,China,2,2
,Cuba,107,107
,Ethiopia,5,5
,Iran,1,1
,Iraq,62,62
,Liberia,1,1
,Pakistan,8,8
,Russia,2,2
,Sudan,28,28
,Ukraine,2,2
New Mexico,,189,189
,Afghanistan,6,6
,Bhutan,21,21
,Burma,53,53
,Cuba,32,32
,Iran,7,7
,Iraq,40,40
,Somalia,30,30
New York,,"3,528","3,528"
,Afghanistan,27,27
,Azerbaijan,6,6
,Belarus,9,9
,Bhutan,"1,209","1,209"
,Burma,"1,074","1,074"
,Burundi,9,9
,Cameroon,5,5
,Central African Republic,19,19
,China,16,16
,Congo,1,1
,Cuba,31,31
,Dem. Rep. Congo,63,63
,Eritrea,68,68
,Ethiopia,17,17
,Iran,41,41
,Iraq,311,311
,Liberia,3,3
,Nepal,9,9
,Niger,4,4
,Pakistan,13,13
,Palestine,30,30
,Russia,24,24
,Rwanda,3,3
,Sierra Leone,1,1
,Somalia,408,408
,Sudan,77,77
,Syria,1,1
,Ukraine,44,44
,Uzbekistan,2,2
,Vietnam,3,3
North Carolina,,"2,110","2,110"
,Afghanistan,27,27
,Bhutan,640,640
,Burma,792,792
,Cambodia,5,5
,Central African Republic,17,17
,Colombia,10,10
,Congo,18,18
,Cuba,59,59
,Dem. Rep. Congo,76,76
,Eritrea,46,46
,Ethiopia,15,15
,Iran,8,8
,Iraq,149,149
,Ivory Coast,2,2
,Liberia,1,1
,Libya,5,5
,Moldova,12,12
,Nepal,5,5
,Pakistan,18,18
,Russia,11,11
,Somalia,93,93
,Sudan,49,49
,Togo,6,6
,Ukraine,16,16
,Vietnam,30,30
North Dakota,,555,555
,Bhutan,429,429
,Burma,3,3
,Dem. Rep. Congo,27,27
,Eritrea,3,3
,Ethiopia,1,1
,Iraq,10,10
,Liberia,1,1
,Nepal,1,1
,Somalia,54,54
,Sudan,26,26
Ohio,,"2,245","2,245"
,Bhutan,"1,307","1,307"
,Burma,209,209
,Burundi,18,18
,Central African Republic,4,4
,Colombia,17,17
,Congo,7,7
,Dem. Rep. Congo,66,66
,Eritrea,70,70
,Ethiopia,35,35
,Iran,11,11
,Iraq,218,218
,Ivory Coast,1,1
,Nepal,1,1
,Pakistan,1,1
,Russia,2,2
,Rwanda,4,4
,Somalia,200,200
,Sudan,43,43
,Ukraine,21,21
,Uzbekistan,10,10
Oklahoma,,299,299
,Burma,258,258
,Cuba,1,1
,Eritrea,8,8
,Iran,4,4
,Iraq,26,26
,Kyrgyzstan,2,2
Oregon,,695,695
,Afghanistan,21,21
,Belarus,3,3
,Bhutan,139,139
,Burma,127,127
,Central African Republic,5,5
,Congo,2,2
,Cuba,7,7
,Dem. Rep. Congo,16,16
,Eritrea,9,9
,Estonia,1,1
,Ethiopia,10,10
,Georgia,4,4
,Iran,30,30
,Iraq,107,107
,Kyrgyzstan,14,14
,Moldova,13,13
,Russia,16,16
,Rwanda,8,8
,Somalia,110,110
,Thailand,3,3
,Uganda,2,2
,Ukraine,44,44
,Vietnam,4,4
Pennsylvania,,"2,809","2,809"
,Afghanistan,12,12
,Belarus,5,5
,Bhutan,"2,172","2,172"
,Burma,255,255
,Burundi,2,2
,Congo,6,6
,Cuba,18,18
,Dem. Rep. Congo,2,2
,Eritrea,32,32
,Ethiopia,7,7
,Iran,3,3
,Iraq,167,167
,Liberia,13,13
,Moldova,8,8
,Nepal,1,1
,Pakistan,14,14
,Senegal,1,1
,Somalia,23,23
,Sri Lanka (Ceylon),1,1
,Sudan,41,41
,Ukraine,17,17
,Uzbekistan,9,9
Rhode Island,,130,130
,Bhutan,58,58
,Burma,53,53
,Eritrea,2,2
,Iran,11,11
,Liberia,2,2
,Nepal,1,1
,Somalia,3,3
South Carolina,,135,135
,Bhutan,27,27
,Burma,76,76
,Eritrea,7,7
,Iran,4,4
,Iraq,18,18
,Laos,3,3
South Dakota,,646,646
,Bhutan,361,361
,Burma,181,181
,Cambodia,1,1
,Dem. Rep. Congo,4,4
,Eritrea,24,24
,Ethiopia,2,2
,Iraq,19,19
,Somalia,43,43
,Sudan,11,11
Tennessee,,"1,236","1,236"
,Afghanistan,1,1
,Bhutan,254,254
,Burma,344,344
,Burundi,14,14
,Cuba,33,33
,Dem. Rep. Congo,16,16
,Eritrea,17,17
,Ethiopia,15,15
,Iran,45,45
,Iraq,206,206
,Liberia,2,2
,Pakistan,7,7
,Palestine,6,6
,Rwanda,14,14
,Somalia,223,223
,Sudan,30,30
,Syria,2,2
,Ukraine,2,2
,Uzbekistan,4,4
,Vietnam,1,1
Texas,,"5,923","5,923"
,Afghanistan,12,12
,Bhutan,"1,278","1,278"
,Burma,"2,156","2,156"
,Burundi,50,50
,Central African Republic,9,9
,Congo,20,20
,Cuba,102,102
,Dem. Rep. Congo,337,337
,Eritrea,105,105
,Ethiopia,63,63
,Iran,173,173
,Iraq,964,964
,Ivory Coast,1,1
,Jordan,1,1
,Kenya,8,8
,"Korea, North",4,4
,Kyrgyzstan,5,5
,Liberia,1,1
,Nepal,2,2
,Pakistan,20,20
,Palestine,5,5
,Rwanda,25,25
,Somalia,456,456
,Sri Lanka (Ceylon),4,4
,Sudan,92,92
,Syria,4,4
,Togo,4,4
,Vietnam,22,22
Utah,,942,942
,Afghanistan,17,17
,Bhutan,259,259
,Burma,129,129
,Burundi,5,5
,Central African Republic,6,6
,Congo,1,1
,Cuba,2,2
,Dem. Rep. Congo,24,24
,Eritrea,40,40
,Iran,47,47
,Iraq,160,160
,"Korea, North",1,1
,Nepal,4,4
,Nigeria,1,1
,Palestine,5,5
,Russia,1,1
,Somalia,174,174
,Sri Lanka (Ceylon),11,11
,Sudan,55,55
Vermont,,350,350
,Bhutan,297,297
,Burma,42,42
,Iraq,10,10
,Nepal,1,1
Virginia,,"1,341","1,341"
,Afghanistan,17,17
,Bhutan,458,458
,Burma,91,91
,Burundi,3,3
,Colombia,26,26
,Cuba,31,31
,Dem. Rep. Congo,16,16
,Eritrea,55,55
,Ethiopia,6,6
,Iran,80,80
,Iraq,400,400
,Kenya,4,4
,Liberia,3,3
,Nepal,2,2
,Pakistan,42,42
,Palestine,2,2
,Russia,6,6
,Rwanda,1,1
,Somalia,43,43
,Sudan,49,49
,Syria,3,3
,Uzbekistan,2,2
,Vietnam,1,1
Washington,,"2,165","2,165"
,Afghanistan,33,33
,Belarus,16,16
,Bhutan,427,427
,Burma,481,481
,Burundi,1,1
,Colombia,6,6
,Congo,3,3
,Cuba,23,23
,Dem. Rep. Congo,55,55
,Eritrea,75,75
,Ethiopia,43,43
,Iran,110,110
,Iraq,296,296
,Kyrgyzstan,15,15
,Liberia,1,1
,Moldova,104,104
,Nepal,1,1
,Pakistan,19,19
,Palestine,7,7
,Russia,61,61
,Rwanda,9,9
,Somalia,214,214
,Sudan,36,36
,Syria,4,4
,Togo,2,2
,Ukraine,115,115
,Vietnam,8,8
West Virginia,,19,19
,Burma,10,10
,Eritrea,4,4
,Iraq,5,5
Wisconsin,,785,785
,Afghanistan,14,14
,Bhutan,56,56
,Burma,396,396
,China,5,5
,Cuba,2,2
,Dem. Rep. Congo,23,23
,Eritrea,26,26
,Ethiopia,12,12
,Iraq,129,129
,Laos,5,5
,Nepal,1,1
,Palestine,8,8
,Somalia,95,95
,Sudan,9,9
,Vietnam,4,4
Total,,"58,238","58,238"
