Placement State,Nationality,FY 2011,Cumulative Total
,Eritrea,47,47
,Ethiopia,17,17
,Iran,3,3
,Iraq,131,131
,Kyrgyzstan,5,5
,Liberia,1,1
,Nigeria,1,1
,Sierra Leone,3,3
,Somalia,155,155
,Sudan,22,22
,Ukraine,2,2
,Uzbekistan,6,6
,Vietnam,4,4
Nebraska,,738,738
,Bhutan,201,201
,Burma,427,427
,Cuba,6,6
,Iran,8,8
,Iraq,65,65
,Liberia,2,2
,Nepal,1,1
,Somalia,7,7
,Sudan,6,6
,Ukraine,9,9
,Vietnam,4,4
,Zimbabwe,2,2
Nevada,,325,325
,Azerbaijan,2,2
,Bhutan,19,19
,Burma,26,26
,Colombia,4,4
,Cuba,87,87
,Dem. Rep. Congo,5,5
,Eritrea,65,65
,Ethiopia,8,8
,Iran,27,27
,Iraq,49,49
,Palestine,5,5
,Somalia,28,28
New Hampshire,,517,517
,Bhutan,435,435
,Burma,17,17
,Dem. Rep. Congo,11,11
,Iraq,43,43
,Somalia,6,6
,Sudan,5,5
New Jersey,,383,383
,Afghanistan,5,5
,Bhutan,50,50
,Burma,66,66
,Colombia,1,1
,Cuba,158,158
,Dem. Rep. Congo,1,1
,Eritrea,8,8
,Ethiopia,1,1
,Guinea,1,1
,Iran,5,5
,Iraq,63,63
,Palestine,5,5
,Russia,5,5
,Sudan,2,2
,Ukraine,7,7
,Vietnam,5,5
New Mexico,,155,155
,Afghanistan,7,7
,Bhutan,32,32
,Burma,47,47
,Cuba,16,16
,Iran,1,1
,Iraq,43,43
,Sierra Leone,1,1
,Somalia,8,8
New York,,"3,529","3,529"
,Afghanistan,12,12
,Angola,2,2
,Belarus,13,13
,Bhutan,"1,269","1,269"
,Burma,"1,346","1,346"
,Burundi,8,8
,Central African Republic,10,10
,Chad,1,1
,China,14,14
,Colombia,2,2
,Congo,6,6
,Cuba,34,34
,Dem. Rep. Congo,25,25
,Egypt,1,1
,Eritrea,110,110
,Ethiopia,12,12
,Gabon,2,2
,Honduras,2,2
,India,1,1
,Iran,36,36
,Iraq,277,277
,Latvia,2,2
,Liberia,23,23
,Moldova,7,7
,Pakistan,4,4
,Russia,12,12
,Rwanda,5,5
,Sierra Leone,7,7
,Somalia,194,194
,Sudan,31,31
,Thailand,1,1
,Ukraine,34,34
,Uzbekistan,25,25
,Vietnam,1,1
North Carolina,,"2,128","2,128"
,Afghanistan,4,4
,Bhutan,571,571
,Burma,922,922
,Central African Republic,12,12
,Chad,2,2
,Congo,2,2
,Cuba,42,42
,Dem. Rep. Congo,26,26
,Eritrea,125,125
,Ethiopia,31,31
,Iran,4,4
,Iraq,127,127
,Kazakhstan,1,1
,Laos,17,17
,Liberia,5,5
,Moldova,37,37
,Russia,7,7
,Rwanda,2,2
,Somalia,89,89
,Sudan,12,12
,Ukraine,18,18
,Vietnam,68,68
,Zimbabwe,4,4
North Dakota,,362,362
,Afghanistan,5,5
,Bhutan,273,273
,Burundi,2,2
,Dem. Rep. Congo,20,20
,Eritrea,16,16
,Ethiopia,1,1
,Iraq,30,30
,Liberia,1,1
,Somalia,7,7
,Sudan,4,4
,Ukraine,3,3
Ohio,,"1,691","1,691"
,Afghanistan,16,16
,Bhutan,769,769
,Burma,299,299
,Burundi,4,4
,Central African Republic,6,6
,Cuba,11,11
,Dem. Rep. Congo,39,39
,Eritrea,97,97
,Ethiopia,27,27
,Georgia,6,6
,Iran,9,9
,Iraq,178,178
,Ivory Coast,1,1
,Pakistan,1,1
,Palestine,5,5
,Russia,1,1
,Rwanda,17,17
,Somalia,140,140
,Sudan,42,42
,Ukraine,15,15
,Uzbekistan,8,8
Oklahoma,,273,273
,Burma,229,229
,Cuba,1,1
,Eritrea,3,3
,Iraq,32,32
,Malaysia,3,3
,Vietnam,5,5
Oregon,,763,763
,Afghanistan,23,23
,Belarus,4,4
,Bhutan,141,141
,Burma,250,250
,China,1,1
,Cuba,5,5
,Dem. Rep. Congo,24,24
,Eritrea,23,23
,Ethiopia,8,8
,Iran,14,14
,Iraq,82,82
,Kazakhstan,1,1
,Moldova,27,27
,Palestine,2,2
,Russia,9,9
,Rwanda,1,1
,Somalia,113,113
,Sudan,8,8
,Syria,1,1
,Thailand,1,1
,Ukraine,22,22
,Uzbekistan,3,3
Pennsylvania,,"2,972","2,972"
,Afghanistan,1,1
,Belarus,5,5
,Bhutan,"2,243","2,243"
,Burma,334,334
,Burundi,3,3
,Central African Republic,10,10
,Cuba,19,19
,Dem. Rep. Congo,14,14
,Eritrea,55,55
,Ethiopia,1,1
,Ghana,1,1
,Iran,7,7
,Iraq,171,171
,Kazakhstan,26,26
,Liberia,15,15
,Netherlands,1,1
,Palestine,3,3
,Russia,3,3
,Rwanda,1,1
,Somalia,19,19
,Sudan,6,6
,Thailand,1,1
,Ukraine,32,32
,Uzbekistan,1,1
Rhode Island,,157,157
,Afghanistan,5,5
,Bhutan,65,65
,Burma,59,59
,Central African Republic,2,2
,Dem. Rep. Congo,3,3
,Eritrea,5,5
,Ethiopia,2,2
,Iran,3,3
,Iraq,9,9
,Liberia,2,2
,Russia,2,2
South Carolina,,142,142
,Afghanistan,1,1
,Bhutan,13,13
,Burma,101,101
,Eritrea,10,10
,Iran,3,3
,Iraq,6,6
,Ukraine,8,8
South Dakota,,490,490
,Afghanistan,1,1
,Bhutan,176,176
,Burma,192,192
,Chad,10,10
,Dem. Rep. Congo,3,3
,Eritrea,53,53
,Ethiopia,4,4
,Iran,5,5
,Iraq,8,8
,Somalia,32,32
,Sudan,4,4
,Ukraine,2,2
Tennessee,,"1,241","1,241"
,Afghanistan,8,8
,Bhutan,283,283
,Burma,375,375
,Burundi,14,14
,Chad,1,1
,Colombia,4,4
,Cuba,75,75
,Dem. Rep. Congo,5,5
,Eritrea,31,31
,Ethiopia,17,17
,Iran,24,24
,Iraq,208,208
,"Korea, North",2,2
,Liberia,1,1
,Nepal,1,1
,Pakistan,4,4
,Palestine,6,6
,Sierra Leone,1,1
,Somalia,161,161
,Sudan,12,12
,Syria,4,4
,Ukraine,4,4
Texas,,"5,636","5,636"
,Afghanistan,27,27
,Azerbaijan,5,5
,Bhutan,"1,259","1,259"
,Burma,"2,437","2,437"
,Burundi,21,21
,Central African Republic,9,9
,Chad,5,5
,Congo,7,7
,Cuba,164,164
,Dem. Rep. Congo,183,183
,Eritrea,160,160
,Ethiopia,52,52
,Gambia,5,5
,Iran,185,185
,Iraq,707,707
,Ivory Coast,5,5
,Liberia,4,4
,Pakistan,7,7
,Palestine,16,16
,Russia,9,9
,Rwanda,13,13
,Senegal,1,1
,Somalia,291,291
,Sri Lanka (Ceylon),8,8
,Sudan,36,36
,Syria,1,1
,Turkmenistan,2,2
,Uganda,6,6
,Uzbekistan,2,2
,Vietnam,9,9
Utah,,838,838
,Afghanistan,7,7
,Bhutan,183,183
,Burma,241,241
,Burundi,2,2
,Central African Republic,13,13
,Cuba,16,16
,Dem. Rep. Congo,39,39
,Eritrea,39,39
,Iran,30,30
,Iraq,96,96
,"Korea, North",4,4
,Nepal,1,1
,Palestine,3,3
,Rwanda,4,4
,Somalia,143,143
,Sri Lanka (Ceylon),9,9
,Sudan,8,8
Vermont,,361,361
,Bhutan,306,306
,Burma,34,34
,Dem. Rep. Congo,11,11
,India,1,1
,Iraq,4,4
,Nepal,4,4
,Sudan,1,1
Virginia,,"1,333","1,333"
,Afghanistan,26,26
,Bhutan,704,704
,Burma,107,107
,Burundi,4,4
,Cuba,47,47
,Dem. Rep. Congo,4,4
,Eritrea,41,41
,Ethiopia,10,10
,Iran,44,44
,Iraq,251,251
,Kazakhstan,2,2
,"Korea, North",1,1
,Kyrgyzstan,4,4
,Pakistan,6,6
,Palestine,8,8
,Russia,4,4
,Sierra Leone,2,2
,Somalia,51,51
,Sudan,6,6
,Ukraine,10,10
,Vietnam,1,1
Washington,,"2,137","2,137"
,Afghanistan,23,23
,Armenia,2,2
,Belarus,12,12
,Bhutan,448,448
,Burma,592,592
,Cambodia,5,5
,Colombia,14,14
,Cuba,33,33
,Dem. Rep. Congo,20,20
,Eritrea,100,100
,Ethiopia,26,26
,Georgia,14,14
,Iran,129,129
,Iraq,265,265
,Kazakhstan,4,4
,Kyrgyzstan,12,12
,Laos,10,10
,Liberia,1,1
,Moldova,66,66
,Russia,32,32
,Somalia,201,201
,Sudan,15,15
,Ukraine,110,110
,Vietnam,3,3
West Virginia,,9,9
,Burma,8,8
,Iraq,1,1
Wisconsin,,760,760
,Afghanistan,2,2
,Bhutan,122,122
,Burma,439,439
,Dem. Rep. Congo,17,17
,Eritrea,29,29
,Ethiopia,3,3
,Iraq,67,67
,Laos,24,24
,Somalia,44,44
,Sudan,11,11
,Ukraine,2,2
Total,,"56,424","56,424"
