Placement State,Nationality,FY 2014,Cumulative Total
,Togo,2,2
,Ukraine,9,9
,Uzbekistan,3,3
,Vietnam,2,2
Hawaii,,2,2
,Burma,2,2
Idaho,,978,978
,Afghanistan,17,17
,Bhutan,114,114
,Burma,122,122
,Colombia,4,4
,Congo,2,2
,Cuba,3,3
,Dem. Rep. Congo,156,156
,Eritrea,22,22
,Ethiopia,2,2
,Iran,24,24
,Iraq,292,292
,Nepal,2,2
,Pakistan,4,4
,Somalia,146,146
,Sudan,68,68
Illinois,,"2,578","2,578"
,Afghanistan,41,41
,Bhutan,215,215
,Burma,751,751
,Congo,10,10
,Cuba,38,38
,Dem. Rep. Congo,171,171
,Egypt,3,3
,Eritrea,33,33
,Ethiopia,14,14
,Iran,68,68
,Iraq,"1,064","1,064"
,Ivory Coast,4,4
,Jordan,2,2
,"Korea, North",2,2
,Kuwait,5,5
,Moldova,2,2
,Nepal,2,2
,Pakistan,21,21
,Palestine,8,8
,Republic of South Sudan,5,5
,Russia,5,5
,Sierra Leone,1,1
,Somalia,31,31
,Sudan,55,55
,Syria,7,7
,Turkmenistan,1,1
,Uganda,1,1
,Ukraine,12,12
,Uzbekistan,1,1
,Vietnam,5,5
Indiana,,"1,614","1,614"
,Afghanistan,12,12
,Bhutan,32,32
,Burma,"1,272","1,272"
,Burundi,4,4
,Cambodia,1,1
,Cuba,10,10
,Dem. Rep. Congo,36,36
,Eritrea,20,20
,Ethiopia,11,11
,Guinea,1,1
,Iran,10,10
,Iraq,126,126
,Pakistan,1,1
,Rwanda,1,1
,Somalia,58,58
,Sudan,19,19
Iowa,,692,692
,Bhutan,111,111
,Burma,408,408
,Central African Republic,3,3
,Cuba,4,4
,Dem. Rep. Congo,18,18
,Eritrea,30,30
,Ethiopia,1,1
,Iraq,75,75
,Liberia,2,2
,Pakistan,5,5
,Philippines,1,1
,Somalia,24,24
,Sudan,10,10
Kansas,,490,490
,Bhutan,38,38
,Burma,190,190
,Burundi,1,1
,Cuba,28,28
,Dem. Rep. Congo,33,33
,Eritrea,32,32
,Ethiopia,3,3
,Iran,7,7
,Iraq,69,69
,Pakistan,6,6
,Somalia,70,70
,Sudan,13,13
Kentucky,,"1,849","1,849"
,Afghanistan,3,3
,Bhutan,268,268
,Burma,420,420
,Burundi,6,6
,Cameroon,1,1
,Central African Republic,2,2
,Congo,3,3
,Cuba,160,160
,Dem. Rep. Congo,178,178
,Ethiopia,4,4
,Iran,7,7
,Iraq,401,401
,Ivory Coast,3,3
,Pakistan,13,13
,Palestine,18,18
,Rwanda,5,5
,Somalia,327,327
,Sudan,21,21
,Syria,1,1
,Tanzania,1,1
,Ukraine,7,7
Louisiana,,211,211
,Afghanistan,9,9
,Burma,53,53
,Colombia,8,8
,Cuba,25,25
,Dem. Rep. Congo,31,31
,Eritrea,5,5
,Ethiopia,5,5
,Iraq,70,70
,Pakistan,1,1
,Sudan,4,4
Maine,,388,388
,Afghanistan,8,8
,Burma,1,1
,Cuba,2,2
,Dem. Rep. Congo,18,18
,Eritrea,1,1
,Iran,9,9
,Iraq,191,191
,Russia,1,1
,Somalia,148,148
,Sudan,8,8
,Syria,1,1
Maryland,,"1,227","1,227"
,Afghanistan,7,7
,Bhutan,133,133
,Burma,366,366
,Cambodia,3,3
,Colombia,17,17
,Congo,1,1
,Cuba,35,35
,Dem. Rep. Congo,126,126
,Eritrea,106,106
,Ethiopia,34,34
,Iran,31,31
,Iraq,230,230
,"Korea, North",4,4
,Liberia,1,1
,Mauritania,4,4
,Pakistan,9,9
,Republic of South Sudan,1,1
,Rwanda,1,1
,Somalia,35,35
,Sudan,79,79
,Uganda,2,2
,Vietnam,2,2
Massachusetts,,"1,941","1,941"
,Afghanistan,10,10
,Belarus,6,6
,Bhutan,295,295
,Burma,112,112
,Cambodia,4,4
,China,1,1
,Colombia,4,4
,Cuba,17,17
,Dem. Rep. Congo,215,215
,Egypt,1,1
,Eritrea,28,28
,Ethiopia,6,6
,India,1,1
,Iran,8,8
,Iraq,782,782
,Ivory Coast,1,1
,Kazakhstan,11,11
,Kyrgyzstan,5,5
,Moldova,17,17
,Nepal,1,1
,Pakistan,4,4
,Palestine,4,4
,Russia,11,11
,Somalia,307,307
,Sudan,44,44
,Syria,1,1
,Togo,6,6
,Turkmenistan,1,1
,Ukraine,33,33
,Uzbekistan,1,1
,Vietnam,4,4
Michigan,,"4,006","4,006"
,Afghanistan,11,11
,Bhutan,187,187
,Burma,409,409
,Cuba,26,26
,Dem. Rep. Congo,226,226
,Eritrea,42,42
,Ethiopia,12,12
,Gabon,1,1
,Iran,11,11
,Iraq,"2,759","2,759"
,Ivory Coast,2,2
,Nepal,1,1
,Pakistan,1,1
,Palestine,11,11
,Somalia,275,275
,Sri Lanka (Ceylon),6,6
,Sudan,24,24
,Syria,1,1
,Tunisia,1,1
Minnesota,,"2,232","2,232"
,Belarus,10,10
,Bhutan,111,111
,Burma,720,720
,Cambodia,4,4
,Congo,3,3
,Cuba,6,6
,Dem. Rep. Congo,21,21
,Eritrea,11,11
,Ethiopia,67,67
,Iran,3,3
,Iraq,179,179
,Kenya,5,5
,Liberia,2,2
,Moldova,7,7
,Palestine,9,9
,Russia,5,5
,Sierra Leone,1,1
,Somalia,"1,048","1,048"
,Sri Lanka (Ceylon),5,5
,Sudan,7,7
,Togo,1,1
,Ukraine,7,7
Mississippi,,7,7
,Burma,1,1
,Dem. Rep. Congo,1,1
,Eritrea,5,5
Missouri,,"1,392","1,392"
,Afghanistan,26,26
,Bhutan,137,137
,Burma,233,233
,Cuba,96,96
,Dem. Rep. Congo,161,161
,Eritrea,31,31
,Ethiopia,19,19
,Iran,6,6
,Iraq,273,273
,Liberia,2,2
,Nepal,2,2
,Pakistan,4,4
,Palestine,1,1
,Somalia,339,339
,Sudan,62,62
Nebraska,,"1,076","1,076"
,Bhutan,260,260
,Burma,501,501
,Cuba,6,6
,Ethiopia,10,10
,India,1,1
,Iran,31,31
,Iraq,190,190
,Ivory Coast,6,6
,Nepal,1,1
,Somalia,52,52
,Sudan,13,13
,Ukraine,5,5
Nevada,,569,569
,Azerbaijan,15,15
,Bhutan,18,18
,Burma,22,22
,China,5,5
,Colombia,17,17
,Cuba,206,206
,Dem. Rep. Congo,32,32
,Eritrea,50,50
,Ethiopia,20,20
,Iran,49,49
,Iraq,66,66
,Ivory Coast,8,8
,Rwanda,4,4
,Somalia,48,48
,Sudan,9,9
New Hampshire,,345,345
,Bhutan,111,111
,Burma,25,25
,Burundi,3,3
,Dem. Rep. Congo,108,108
,Iraq,63,63
,Somalia,17,17
,Sudan,18,18
New Jersey,,363,363
,Afghanistan,2,2
,Bhutan,4,4
,Burma,25,25
,China,3,3
,Colombia,7,7
,Cuba,172,172
,Egypt,1,1
,Eritrea,4,4
,Iran,4,4
,Iraq,81,81
,Liberia,3,3
,Moldova,4,4
,Pakistan,16,16
,Russia,9,9
,Sudan,20,20
,Syria,8,8
New Mexico,,163,163
,Afghanistan,22,22
,Bhutan,4,4
,Burma,1,1
,Burundi,2,2
,Colombia,3,3
,Cuba,20,20
,Dem. Rep. Congo,26,26
,India,1,1
,Iran,12,12
,Iraq,47,47
,Somalia,25,25
New York,,"4,082","4,082"
,Afghanistan,69,69
,Bhutan,875,875
,Burma,"1,108","1,108"
,Burundi,3,3
,Cambodia,5,5
,China,15,15
,Cuba,88,88
,Dem. Rep. Congo,216,216
,Eritrea,58,58
,Ethiopia,35,35
,Indonesia,1,1
,Iran,38,38
,Iraq,658,658
,Ivory Coast,2,2
,"Korea, North",1,1
,Kuwait,7,7
,Kyrgyzstan,2,2
,Nepal,7,7
,Pakistan,3,3
,Palestine,13,13
,Russia,26,26
,Rwanda,7,7
,Somalia,705,705
,Sri Lanka (Ceylon),1,1
,Sudan,58,58
,Syria,2,2
,Ukraine,63,63
,Uzbekistan,13,13
,Yemen,3,3
North Carolina,,"2,443","2,443"
,Afghanistan,36,36
,Bhutan,355,355
,Burma,806,806
,Burundi,2,2
,Central African Republic,6,6
,Chad,21,21
,Colombia,8,8
,Congo,1,1
,Cuba,128,128
,Dem. Rep. Congo,202,202
,Eritrea,69,69
,Ethiopia,35,35
,Guinea,2,2
,India,2,2
,Iran,28,28
,Iraq,344,344
,Liberia,1,1
,Moldova,11,11
,Nigeria,1,1
,Pakistan,9,9
,Somalia,277,277
,Sudan,70,70
,Syria,11,11
,Togo,5,5
,Ukraine,1,1
,Vietnam,11,11
,Zimbabwe,1,1
North Dakota,,582,582
,Afghanistan,5,5
,Bhutan,284,284
,Burma,4,4
,Cambodia,9,9
,Dem. Rep. Congo,24,24
,Eritrea,6,6
,Ethiopia,1,1
,Iran,3,3
,Iraq,158,158
,Pakistan,1,1
,Somalia,80,80
,Sudan,7,7
Ohio,,"2,815","2,815"
,Bhutan,"1,264","1,264"
,Burma,184,184
,Burundi,3,3
,Central African Republic,5,5
,China,1,1
,Cuba,11,11
,Dem. Rep. Congo,111,111
,Eritrea,86,86
,Ethiopia,47,47
,Iran,8,8
,Iraq,493,493
,Kazakhstan,2,2
,Mali,2,2
,Moldova,1,1
,Nepal,1,1
,Pakistan,23,23
,Republic of South Sudan,1,1
,Russia,2,2
,Saudi Arabia,1,1
,Somalia,501,501
,Sudan,41,41
,Syria,4,4
,Togo,7,7
,Ukraine,11,11
,Vietnam,5,5
Oklahoma,,389,389
,Burma,352,352
,Dem. Rep. Congo,8,8
,Eritrea,3,3
,Iran,3,3
,Iraq,23,23
Oregon,,"1,019","1,019"
,Afghanistan,20,20
,Belarus,4,4
,Bhutan,98,98
,Burma,197,197
,China,1,1
,Cuba,12,12
,Dem. Rep. Congo,66,66
,Eritrea,11,11
,Ethiopia,20,20
,Iran,37,37
,Iraq,287,287
,Kazakhstan,1,1
,Moldova,11,11
,Russia,8,8
,Somalia,206,206
,Sudan,10,10
,Syria,1,1
,Ukraine,21,21
,Uzbekistan,8,8
Pennsylvania,,"2,739","2,739"
,Afghanistan,7,7
,Belarus,2,2
,Bhutan,"1,004","1,004"
,Burma,414,414
,Colombia,5,5
,Cuba,67,67
,Dem. Rep. Congo,206,206
,Egypt,2,2
,Eritrea,45,45
,Ethiopia,44,44
,India,2,2
,Iran,6,6
,Iraq,444,444
,Kenya,3,3
,Liberia,2,2
,Nepal,7,7
,Pakistan,6,6
,Republic of South Sudan,12,12
,Russia,12,12
,Sierra Leone,4,4
,Somalia,358,358
,Sudan,57,57
,Ukraine,21,21
,Uzbekistan,6,6
,Vietnam,3,3
Puerto Rico,,2,2
,Cuba,2,2
Rhode Island,,188,188
,Bhutan,13,13
,Burma,30,30
,Burundi,7,7
,Colombia,14,14
,Dem. Rep. Congo,27,27
,Eritrea,20,20
,Iran,2,2
,Iraq,37,37
,Liberia,1,1
,Nepal,1,1
,Pakistan,3,3
,Somalia,33,33
South Carolina,,121,121
,Burma,46,46
,Eritrea,11,11
,Iraq,40,40
,Kenya,4,4
,Somalia,11,11
,Ukraine,9,9
South Dakota,,523,523
,Bhutan,163,163
,Burma,115,115
,Dem. Rep. Congo,45,45
,Eritrea,49,49
,Ethiopia,2,2
,Guinea,6,6
,Iraq,43,43
,Nepal,1,1
,Somalia,81,81
,Sudan,7,7
,Ukraine,11,11
Tennessee,,"1,467","1,467"
,Afghanistan,3,3
,Bhutan,218,218
,Burma,276,276
,Colombia,12,12
,Cuba,92,92
,Dem. Rep. Congo,79,79
,Egypt,10,10
,Eritrea,9,9
,Ethiopia,15,15
,Gambia,1,1
,Iran,10,10
,Iraq,462,462
,Moldova,2,2
,Nepal,5,5
,Palestine,4,4
,Republic of South Sudan,12,12
,Rwanda,2,2
,Somalia,227,227
,Sudan,28,28
Texas,,"7,214","7,214"
,Afghanistan,83,83
,Bhutan,618,618
,Burma,"2,138","2,138"
,Burundi,5,5
,Colombia,8,8
,Congo,1,1
,Cuba,248,248
,Dem. Rep. Congo,343,343
,Eritrea,149,149
,Ethiopia,41,41
,Iran,357,357
,Iraq,"2,465","2,465"
,Ivory Coast,3,3
,Jordan,1,1
,Lebanon,1,1
,Liberia,4,4
,Nepal,3,3
,Pakistan,18,18
,Rwanda,6,6
,Somalia,636,636
,Sri Lanka (Ceylon),6,6
,Sudan,57,57
,Syria,11,11
,Togo,1,1
,Vietnam,11,11
Utah,,"1,085","1,085"
,Afghanistan,32,32
,Bhutan,95,95
,Burma,128,128
,Burundi,7,7
,Cambodia,1,1
,China,1,1
,Colombia,4,4
,Cuba,17,17
,Dem. Rep. Congo,109,109
,Eritrea,26,26
,Ethiopia,7,7
,Iran,17,17
,Iraq,292,292
,"Korea, North",1,1
,Pakistan,5,5
,Republic of South Sudan,1,1
,Rwanda,2,2
,Somalia,274,274
,Sri Lanka (Ceylon),4,4
,Sudan,58,58
,Togo,4,4
Vermont,,317,317
,Bhutan,171,171
,Burma,24,24
,Dem. Rep. Congo,15,15
,Eritrea,1,1
,Iraq,47,47
,Nepal,2,2
,Somalia,47,47
,Sudan,10,10
Virginia,,"1,310","1,310"
,Afghanistan,22,22
,Bhutan,151,151
,Burma,49,49
,Burundi,3,3
,Cambodia,5,5
,Colombia,14,14
,Cuba,62,62
,Dem. Rep. Congo,83,83
,Eritrea,31,31
,Ethiopia,5,5
,Iran,87,87
,Iraq,630,630
,Ivory Coast,3,3
,Kenya,2,2
,Nepal,1,1
,Pakistan,4,4
,Palestine,5,5
,Republic of South Sudan,13,13
,Russia,1,1
,Rwanda,3,3
,Somalia,71,71
,Sudan,52,52
,Syria,6,6
,Ukraine,3,3
,Vietnam,4,4
Washington,,"2,483","2,483"
,Afghanistan,17,17
,Belarus,12,12
,Bhutan,123,123
,Burma,334,334
,Burundi,3,3
,Colombia,20,20
,Cuba,55,55
,Dem. Rep. Congo,137,137
,Eritrea,73,73
,Ethiopia,64,64
,Georgia,13,13
,Iran,108,108
,Iraq,712,712
,Kazakhstan,9,9
,Kenya,3,3
,Kyrgyzstan,1,1
,Moldova,35,35
,Nepal,1,1
,Pakistan,16,16
,Republic of South Sudan,2,2
,Russia,8,8
,Rwanda,4,4
,Somalia,532,532
,Sri Lanka (Ceylon),1,1
,Sudan,46,46
,Ukraine,133,133
,Uzbekistan,4,4
,Vietnam,17,17
West Virginia,,28,28
,Burma,3,3
,Eritrea,14,14
,Iraq,10,10
,Syria,1,1
Wisconsin,,"1,132","1,132"
,Bhutan,30,30
,Burma,558,558
,Colombia,5,5
,Cuba,15,15
,Dem. Rep. Congo,42,42
,Eritrea,5,5
,Ethiopia,5,5
,Iraq,270,270
,Nepal,3,3
,Somalia,180,180
,Sudan,15,15
,Syria,1,1
,Vietnam,3,3
Total,,"69,987","69,987"
