Placement State,Nationality,FY 2017,Cumulative Total
,Sweden,1,1
,Syria,356,356
,Togo,1,1
,Uganda,7,7
,Ukraine,69,69
,Vietnam,5,5
,Yemen,10,10
Indiana,,"1,042","1,042"
,Afghanistan,11,11
,Bhutan,3,3
,Burma,504,504
,Burundi,11,11
,Central African Republic,6,6
,Dem. Rep. Congo,157,157
,El Salvador,6,6
,Eritrea,47,47
,Ethiopia,6,6
,Honduras,2,2
,Indonesia,2,2
,Iran,1,1
,Iraq,23,23
,Moldova,19,19
,Somalia,94,94
,Sudan,9,9
,Syria,132,132
,Ukraine,7,7
,Yemen,2,2
Iowa,,658,658
,Afghanistan,7,7
,Bhutan,64,64
,Burma,115,115
,Burundi,5,5
,Dem. Rep. Congo,157,157
,El Salvador,1,1
,Eritrea,90,90
,Ethiopia,18,18
,Honduras,1,1
,Iraq,28,28
,Nepal,1,1
,Republic of South Sudan,12,12
,Somalia,70,70
,Sudan,51,51
,Syria,38,38
Kansas,,580,580
,Afghanistan,3,3
,Bhutan,26,26
,Burma,141,141
,Dem. Rep. Congo,136,136
,El Salvador,3,3
,Eritrea,32,32
,Ethiopia,23,23
,Iran,8,8
,Iraq,15,15
,Nigeria,1,1
,Palestine,1,1
,Somalia,121,121
,Sudan,55,55
,Syria,15,15
Kentucky,,"1,616","1,616"
,Afghanistan,4,4
,Bhutan,138,138
,Burma,123,123
,Cameroon,1,1
,Central African Republic,1,1
,Cuba,11,11
,Dem. Rep. Congo,498,498
,El Salvador,2,2
,Eritrea,8,8
,Ethiopia,19,19
,Iraq,160,160
,Ivory Coast,4,4
,Nepal,2,2
,Pakistan,21,21
,Russia,1,1
,Rwanda,24,24
,Somalia,381,381
,Sri Lanka (Ceylon),2,2
,Sudan,9,9
,Syria,163,163
,Ukraine,44,44
Louisiana,,84,84
,Burma,5,5
,Colombia,3,3
,Dem. Rep. Congo,2,2
,El Salvador,1,1
,Eritrea,13,13
,Iraq,29,29
,Syria,31,31
Maine,,288,288
,Burundi,10,10
,Dem. Rep. Congo,62,62
,Eritrea,5,5
,Ethiopia,21,21
,Honduras,6,6
,Iran,6,6
,Iraq,53,53
,Republic of South Sudan,1,1
,Somalia,92,92
,Sudan,4,4
,Syria,26,26
,Ukraine,2,2
Maryland,,"1,072","1,072"
,Afghanistan,29,29
,Azerbaijan,2,2
,Bhutan,28,28
,Burma,121,121
,Cameroon,1,1
,Central African Republic,8,8
,China,1,1
,Colombia,5,5
,Cuba,2,2
,Dem. Rep. Congo,142,142
,El Salvador,138,138
,Eritrea,117,117
,Ethiopia,21,21
,Guatemala,3,3
,Honduras,6,6
,Iran,60,60
,Iraq,68,68
,Ivory Coast,2,2
,Pakistan,36,36
,Palestine,5,5
,Republic of South Sudan,8,8
,Russia,7,7
,Somalia,2,2
,Sudan,22,22
,Syria,214,214
,Ukraine,24,24
Massachusetts,,"1,089","1,089"
,Afghanistan,13,13
,Belarus,3,3
,Bhutan,143,143
,Burma,11,11
,Burundi,11,11
,Cameroon,1,1
,Central African Republic,10,10
,Colombia,2,2
,Cuba,1,1
,Dem. Rep. Congo,153,153
,El Salvador,70,70
,Eritrea,26,26
,Ethiopia,4,4
,Guatemala,4,4
,Iran,9,9
,Iraq,196,196
,Ivory Coast,1,1
,Jordan,1,1
,Kazakhstan,3,3
,Kyrgyzstan,1,1
,Mali,1,1
,Moldova,4,4
,Pakistan,6,6
,Palestine,1,1
,Republic of South Sudan,2,2
,Russia,4,4
,Rwanda,1,1
,Senegal,4,4
,Somalia,125,125
,Sudan,18,18
,Syria,123,123
,Tunisia,1,1
,Uganda,5,5
,Ukraine,124,124
,Vietnam,5,5
,Yemen,1,1
,Zimbabwe,1,1
Michigan,,"2,536","2,536"
,Afghanistan,55,55
,Bhutan,135,135
,Burma,126,126
,Burundi,23,23
,Cameroon,1,1
,Central African Republic,10,10
,Dem. Rep. Congo,427,427
,Eritrea,53,53
,Ethiopia,8,8
,Iran,25,25
,Iraq,802,802
,Ivory Coast,5,5
,Nepal,3,3
,Palestine,5,5
,Republic of South Sudan,5,5
,Rwanda,9,9
,Senegal,4,4
,Somalia,102,102
,Sri Lanka (Ceylon),1,1
,Sudan,50,50
,Syria,683,683
,Ukraine,4,4
Minnesota,,"1,623","1,623"
,Belarus,12,12
,Bhutan,49,49
,Burma,285,285
,China,2,2
,Dem. Rep. Congo,61,61
,Djibouti,1,1
,El Salvador,7,7
,Eritrea,22,22
,Ethiopia,187,187
,Iran,2,2
,Iraq,94,94
,Kenya,2,2
,Liberia,3,3
,Moldova,16,16
,Nepal,1,1
,Palestine,5,5
,Russia,6,6
,Somalia,808,808
,Sudan,25,25
,Syria,10,10
,Ukraine,22,22
,Vietnam,3,3
Mississippi,,9,9
,Burma,3,3
,Dem. Rep. Congo,1,1
,Eritrea,3,3
,Guinea,1,1
,Iraq,1,1
Missouri,,"1,227","1,227"
,Afghanistan,33,33
,Bhutan,53,53
,Burma,32,32
,Burundi,2,2
,Central African Republic,1,1
,Dem. Rep. Congo,332,332
,El Salvador,1,1
,Eritrea,29,29
,Ethiopia,19,19
,Iran,10,10
,Iraq,96,96
,Pakistan,1,1
,Republic of South Sudan,3,3
,Russia,18,18
,Somalia,350,350
,Sudan,85,85
,Syria,118,118
,Uganda,1,1
,Ukraine,43,43
Montana,,92,92
,Dem. Rep. Congo,10,10
,Eritrea,50,50
,Ethiopia,7,7
,Iraq,12,12
,Syria,13,13
Nebraska,,"1,198","1,198"
,Afghanistan,3,3
,Bhutan,103,103
,Burma,240,240
,Dem. Rep. Congo,43,43
,El Salvador,4,4
,Ethiopia,18,18
,India,1,1
,Iran,28,28
,Iraq,375,375
,Palestine,6,6
,Republic of South Sudan,25,25
,Somalia,130,130
,Sudan,77,77
,Syria,81,81
,Ukraine,64,64
Nevada,,469,469
,Afghanistan,25,25
,Bhutan,3,3
,Burkina Faso (UVolta),1,1
,Burma,8,8
,Cameroon,6,6
,Central African Republic,3,3
,Colombia,1,1
,Congo,1,1
,Cuba,9,9
,Dem. Rep. Congo,118,118
,El Salvador,11,11
,Eritrea,38,38
,Ethiopia,11,11
,Guatemala,2,2
,Iran,56,56
,Iraq,40,40
,Pakistan,5,5
,Somalia,38,38
,Sudan,16,16
,Syria,77,77
New Hampshire,,339,339
,Bhutan,83,83
,Burma,48,48
,Burundi,9,9
,Dem. Rep. Congo,135,135
,El Salvador,1,1
,Eritrea,11,11
,Iraq,16,16
,Nepal,1,1
,Pakistan,3,3
,Rwanda,1,1
,Somalia,14,14
,Sudan,7,7
,Syria,7,7
,Yemen,3,3
New Jersey,,379,379
,Afghanistan,10,10
,Burma,3,3
,China,3,3
,Colombia,5,5
,Cuba,6,6
,Dem. Rep. Congo,28,28
,El Salvador,52,52
,Eritrea,22,22
,Honduras,8,8
,Iran,1,1
,Iraq,32,32
,Ivory Coast,3,3
,Liberia,1,1
,Pakistan,5,5
,Palestine,1,1
,Russia,4,4
,Sudan,4,4
,Syria,158,158
,Uganda,2,2
,Ukraine,31,31
New Mexico,,155,155
,Afghanistan,11,11
,Burma,4,4
,Burundi,7,7
,Central African Republic,5,5
,Dem. Rep. Congo,78,78
,Iraq,14,14
,Ivory Coast,2,2
,Pakistan,4,4
,Russia,1,1
,Somalia,15,15
,Syria,8,8
,Ukraine,5,5
,Zimbabwe,1,1
New York,,"3,100","3,100"
,Afghanistan,157,157
,Azerbaijan,14,14
,Belarus,8,8
,Bhutan,207,207
,Burma,331,331
,Burundi,24,24
,Cameroon,2,2
,Central African Republic,16,16
,China,5,5
,Colombia,9,9
,Congo,2,2
,Cuba,2,2
,Dem. Rep. Congo,500,500
,El Salvador,78,78
,Eritrea,97,97
,Ethiopia,13,13
,Honduras,6,6
,Iran,25,25
,Iraq,224,224
,Ivory Coast,3,3
,Jordan,1,1
,Kazakhstan,1,1
,Kuwait,1,1
,Kyrgyzstan,3,3
,Liberia,1,1
,Moldova,3,3
,Nepal,6,6
,Pakistan,30,30
,Palestine,25,25
,Republic of South Sudan,17,17
,Russia,34,34
,Rwanda,3,3
,Somalia,515,515
,Sri Lanka (Ceylon),4,4
,Sudan,51,51
,Syria,419,419
,Tibet,2,2
,Uganda,4,4
,Ukraine,253,253
,Uzbekistan,4,4
North Carolina,,"1,916","1,916"
,Afghanistan,44,44
,Belarus,3,3
,Bhutan,141,141
,Burma,157,157
,Cambodia,3,3
,Central African Republic,27,27
,Chad,1,1
,Colombia,23,23
,Dem. Rep. Congo,537,537
,Egypt,2,2
,El Salvador,40,40
,Eritrea,96,96
,Ethiopia,19,19
,Honduras,12,12
,Iran,21,21
,Iraq,105,105
,Ivory Coast,2,2
,Kazakhstan,5,5
,Latvia,3,3
,Mali,2,2
,Moldova,16,16
,Nepal,2,2
,Pakistan,25,25
,Russia,11,11
,Rwanda,6,6
,Somalia,190,190
,Sudan,40,40
,Syria,246,246
,Ukraine,130,130
,Vietnam,4,4
,Yemen,3,3
North Dakota,,420,420
,Bhutan,179,179
,Dem. Rep. Congo,57,57
,Eritrea,6,6
,Ethiopia,10,10
,Guinea,1,1
,Iraq,78,78
,Mali,1,1
,Nepal,1,1
,Somalia,83,83
,Sudan,4,4
Ohio,,"2,867","2,867"
,Afghanistan,28,28
,Armenia,4,4
,Belarus,4,4
,Bhutan,857,857
,Burma,55,55
,Burundi,10,10
,Central African Republic,14,14
,Colombia,3,3
,Dem. Rep. Congo,564,564
,El Salvador,2,2
,Eritrea,60,60
,Ethiopia,14,14
,Iran,20,20
,Iraq,203,203
,Kenya,1,1
,Moldova,3,3
,Mongolia,1,1
,Nepal,8,8
,Pakistan,4,4
,Palestine,9,9
,Republic of South Sudan,4,4
,Russia,3,3
,Rwanda,2,2
,Somalia,425,425
,Sudan,40,40
,Syria,360,360
,Tanzania,1,1
,Uganda,14,14
,Ukraine,144,144
,Uzbekistan,9,9
,Yemen,1,1
Oklahoma,,260,260
,Belarus,1,1
,Burma,170,170
,Eritrea,7,7
,Ethiopia,1,1
,Honduras,1,1
,Iran,2,2
,Iraq,16,16
,Kyrgyzstan,5,5
,Russia,25,25
,Somalia,13,13
,Sudan,1,1
,Syria,10,10
,Ukraine,8,8
Oregon,,"1,002","1,002"
,Afghanistan,17,17
,Bhutan,36,36
,Burma,46,46
,Central African Republic,1,1
,Chad,1,1
,Dem. Rep. Congo,72,72
,El Salvador,13,13
,Eritrea,28,28
,Ethiopia,8,8
,Guatemala,2,2
,Iran,26,26
,Iraq,125,125
,Jordan,1,1
,Moldova,13,13
,Pakistan,5,5
,Palestine,3,3
,Russia,38,38
,Somalia,165,165
,Sudan,11,11
,Syria,30,30
,Ukraine,358,358
,Vietnam,3,3
Pennsylvania,,"2,147","2,147"
,Afghanistan,12,12
,Bangladesh,2,2
,Belarus,17,17
,Bhutan,423,423
,Burma,92,92
,Cameroon,1,1
,Central African Republic,2,2
,Colombia,10,10
,Cuba,11,11
,Dem. Rep. Congo,437,437
,El Salvador,3,3
,Eritrea,94,94
,Ethiopia,19,19
,Guinea,1,1
,Iran,9,9
,Iraq,92,92
,Ivory Coast,8,8
,Libya,3,3
,Moldova,1,1
,Nepal,2,2
,Nigeria,1,1
,Pakistan,51,51
,Palestine,3,3
,Republic of South Sudan,4,4
,Russia,9,9
,Rwanda,2,2
,Sierra Leone,3,3
,Somalia,194,194
,Sudan,37,37
,Syria,422,422
,Uganda,3,3
,Ukraine,179,179
Rhode Island,,204,204
,Afghanistan,1,1
,Bhutan,1,1
,Burundi,11,11
,Colombia,1,1
,Dem. Rep. Congo,45,45
,Djibouti,1,1
,El Salvador,1,1
,Eritrea,4,4
,Ethiopia,1,1
,Iraq,22,22
,Liberia,2,2
,Somalia,57,57
,Syria,52,52
,Ukraine,5,5
South Carolina,,242,242
,Afghanistan,14,14
,Belarus,2,2
,Bhutan,9,9
,Burma,22,22
,Dem. Rep. Congo,41,41
,Egypt,1,1
,El Salvador,2,2
,Eritrea,2,2
,Honduras,2,2
,Iran,3,3
,Iraq,18,18
,Russia,4,4
,Syria,11,11
,Ukraine,111,111
South Dakota,,314,314
,Bhutan,81,81
,Burma,65,65
,Burundi,4,4
,Dem. Rep. Congo,45,45
,Eritrea,56,56
,Ethiopia,9,9
,Iraq,1,1
,Somalia,35,35
,Sudan,14,14
,Syria,4,4
Tennessee,,"1,048","1,048"
,Afghanistan,21,21
,Bhutan,88,88
,Burma,84,84
,Burundi,14,14
,Colombia,22,22
,Cuba,2,2
,Dem. Rep. Congo,304,304
,El Salvador,14,14
,Eritrea,7,7
,Ethiopia,10,10
,Iran,7,7
,Iraq,125,125
,Kazakhstan,5,5
,Kyrgyzstan,4,4
,Moldova,4,4
,Morocco,2,2
,Pakistan,9,9
,Republic of South Sudan,18,18
,Russia,1,1
,Rwanda,5,5
,Somalia,119,119
,Sudan,36,36
,Syria,100,100
,Ukraine,47,47
Texas,,"4,768","4,768"
,Afghanistan,118,118
,Bhutan,174,174
,Burma,693,693
,Burundi,41,41
,Central African Republic,53,53
,China,2,2
,Colombia,11,11
,Cuba,18,18
,Dem. Rep. Congo,"1,046","1,046"
,Egypt,2,2
,El Salvador,135,135
,Eritrea,187,187
,Ethiopia,44,44
,Gambia,1,1
,Guinea,1,1
,Honduras,17,17
,Iran,382,382
,Iraq,949,949
,Ivory Coast,10,10
,Jordan,1,1
,"Korea, North",1,1
,Liberia,1,1
,Nepal,4,4
,Pakistan,13,13
,Palestine,7,7
,Republic of South Sudan,8,8
,Russia,3,3
,Rwanda,19,19
,Somalia,297,297
,Sri Lanka (Ceylon),3,3
,Sudan,44,44
,Syria,455,455
,Ukraine,24,24
,Vietnam,3,3
,Zambia,1,1
Utah,,716,716
,Afghanistan,17,17
,Bhutan,26,26
,Burma,81,81
,Burundi,13,13
,Central African Republic,6,6
,Dem. Rep. Congo,215,215
,Djibouti,2,2
,El Salvador,5,5
,Eritrea,18,18
,Ethiopia,17,17
,Iran,10,10
,Iraq,124,124
,Ivory Coast,1,1
,"Korea, North",1,1
,Pakistan,8,8
,Republic of South Sudan,30,30
,Rwanda,2,2
,Somalia,95,95
,Sudan,11,11
,Syria,30,30
,Uganda,4,4
Vermont,,235,235
,Bhutan,86,86
,Burma,5,5
,Dem. Rep. Congo,48,48
,Ethiopia,2,2
,Iraq,18,18
,Nepal,2,2
,Somalia,59,59
,Sudan,1,1
,Syria,14,14
Virginia,,"1,041","1,041"
,Afghanistan,102,102
,Bhutan,52,52
,Burma,13,13
,Burundi,5,5
,Colombia,5,5
,Congo,1,1
,Dem. Rep. Congo,105,105
,El Salvador,138,138
,Eritrea,51,51
,Ethiopia,6,6
,Guatemala,1,1
,Honduras,6,6
,Iran,79,79
,Iraq,185,185
,Kazakhstan,3,3
,Kyrgyzstan,6,6
,Pakistan,29,29
,Rwanda,11,11
,Somalia,59,59
,Sudan,28,28
,Syria,119,119
,Tunisia,1,1
,Ukraine,36,36
Washington,,"2,923","2,923"
,Afghanistan,35,35
,Armenia,5,5
,Belarus,9,9
,Bhutan,27,27
,Burma,82,82
,Burundi,1,1
,Cameroon,2,2
,China,4,4
,Colombia,9,9
,Dem. Rep. Congo,109,109
,El Salvador,1,1
,Eritrea,75,75
,Ethiopia,25,25
,Iran,162,162
,Iraq,383,383
,Kazakhstan,12,12
,Kyrgyzstan,4,4
,Moldova,102,102
,Nepal,1,1
,Oman,1,1
,Pakistan,9,9
,Philippines,2,2
,Russia,80,80
,Senegal,4,4
,Somalia,239,239
,Sudan,31,31
,Syria,66,66
,Ukraine,"1,424","1,424"
,Uzbekistan,13,13
,Vietnam,6,6
West Virginia,,13,13
,Burma,4,4
,Iraq,7,7
,Syria,1,1
,Uganda,1,1
Wisconsin,,942,942
,Afghanistan,1,1
,Bhutan,16,16
,Burma,430,430
,Central African Republic,1,1
,Dem. Rep. Congo,105,105
,Eritrea,8,8
,Ethiopia,2,2
,Honduras,1,1
,Iran,5,5
,Iraq,89,89
,Pakistan,10,10
,Republic of South Sudan,3,3
,Somalia,167,167
,Sudan,14,14
,Syria,80,80
,Thailand,1,1
,Vietnam,9,9
Total,,"53,716","53,716"
