Placement State,Nationality,FY 2015,Cumulative Total
,Afghanistan,9,9
,Bhutan,1,1
,Burma,37,37
,Burundi,8,8
,Central African Republic,1,1
,Colombia,16,16
,Dem. Rep. Congo,116,116
,Eritrea,28,28
,Ethiopia,2,2
,Iran,8,8
,Iraq,96,96
,Rwanda,13,13
,Somalia,127,127
,Sudan,18,18
,Syria,39,39
Delaware,,9,9
,Burma,6,6
,Sri Lanka (Ceylon),3,3
District of Columbia,,5,5
,Eritrea,3,3
,Iran,1,1
,Uganda,1,1
Florida,,"2,480","2,480"
,Afghanistan,9,9
,Belarus,1,1
,Bhutan,4,4
,Burma,457,457
,Burundi,12,12
,Central African Republic,20,20
,Colombia,167,167
,Cuba,885,885
,Dem. Rep. Congo,197,197
,Eritrea,59,59
,Ethiopia,30,30
,Iran,37,37
,Iraq,260,260
,Kazakhstan,6,6
,Kyrgyzstan,2,2
,Moldova,2,2
,Pakistan,5,5
,Republic of South Sudan,3,3
,Russia,9,9
,Somalia,81,81
,Sri Lanka (Ceylon),3,3
,Sudan,100,100
,Syria,98,98
,Tunisia,1,1
,Ukraine,28,28
,Vietnam,2,2
,Yemen,2,2
Georgia,,"2,889","2,889"
,Afghanistan,32,32
,Bangladesh,2,2
,Bhutan,365,365
,Burma,963,963
,Burundi,77,77
,Cameroon,1,1
,Central African Republic,14,14
,Chad,1,1
,Colombia,18,18
,Cuba,18,18
,Dem. Rep. Congo,448,448
,Ecuador,1,1
,Eritrea,73,73
,Ethiopia,58,58
,Gambia,1,1
,Guinea,1,1
,Indonesia,1,1
,Iran,96,96
,Iraq,263,263
,Jamaica,1,1
,"Korea, North",1,1
,Nepal,1,1
,Pakistan,37,37
,Russia,7,7
,Rwanda,3,3
,Sierra Leone,1,1
,Somalia,259,259
,Sri Lanka (Ceylon),2,2
,Sudan,69,69
,Syria,53,53
,Uganda,4,4
,Ukraine,17,17
,Zimbabwe,1,1
Hawaii,,7,7
,Burma,5,5
,China,1,1
,Ukraine,1,1
Idaho,,935,935
,Afghanistan,27,27
,Bhutan,35,35
,Burma,104,104
,Burundi,19,19
,Central African Republic,18,18
,Colombia,12,12
,Congo,4,4
,Dem. Rep. Congo,258,258
,Eritrea,78,78
,Ethiopia,2,2
,Iran,35,35
,Iraq,124,124
,Mali,2,2
,Pakistan,10,10
,Republic of South Sudan,1,1
,Russia,1,1
,Rwanda,2,2
,Sierra Leone,2,2
,Somalia,92,92
,Sudan,60,60
,Syria,35,35
,Uganda,2,2
,Ukraine,7,7
,Uzbekistan,5,5
Illinois,,"2,658","2,658"
,Afghanistan,52,52
,Belarus,3,3
,Bhutan,83,83
,Burma,"1,035","1,035"
,Burundi,34,34
,Central African Republic,8,8
,Colombia,36,36
,Congo,1,1
,Cuba,9,9
,Dem. Rep. Congo,317,317
,Eritrea,28,28
,Ethiopia,12,12
,Iran,84,84
,Iraq,593,593
,Ivory Coast,2,2
,"Korea, North",2,2
,Mali,1,1
,Moldova,6,6
,Pakistan,5,5
,Palestine,3,3
,Republic of South Sudan,3,3
,Russia,3,3
,Rwanda,23,23
,Somalia,71,71
,Sudan,79,79
,Syria,131,131
,Uganda,7,7
,Ukraine,27,27
Indiana,,"1,793","1,793"
,Burma,"1,498","1,498"
,Central African Republic,10,10
,China,1,1
,Cuba,3,3
,Dem. Rep. Congo,165,165
,Eritrea,16,16
,Ethiopia,1,1
,Iran,1,1
,Iraq,42,42
,Somalia,26,26
,Sudan,10,10
,Syria,20,20
Iowa,,787,787
,Bhutan,106,106
,Burma,407,407
,Burundi,10,10
,Cameroon,2,2
,Cuba,2,2
,Dem. Rep. Congo,102,102
,Eritrea,36,36
,Ethiopia,6,6
,Iraq,63,63
,Somalia,16,16
,Sudan,33,33
,Vietnam,4,4
Kansas,,741,741
,Afghanistan,6,6
,Bhutan,43,43
,Burma,352,352
,Burundi,3,3
,Central African Republic,1,1
,Cuba,1,1
,Dem. Rep. Congo,146,146
,Eritrea,48,48
,Ethiopia,3,3
,Iraq,61,61
,Russia,1,1
,Somalia,60,60
,Sudan,8,8
,Syria,8,8
Kentucky,,"1,990","1,990"
,Afghanistan,6,6
,Angola,2,2
,Bhutan,201,201
,Burma,494,494
,Burundi,47,47
,Congo,1,1
,Cuba,66,66
,Dem. Rep. Congo,360,360
,Eritrea,1,1
,Ethiopia,3,3
,Iran,1,1
,Iraq,314,314
,Ivory Coast,8,8
,Kenya,1,1
,"Korea, North",2,2
,Lebanon,3,3
,Moldova,5,5
,Pakistan,2,2
,Rwanda,3,3
,Somalia,360,360
,Sri Lanka (Ceylon),9,9
,Sudan,40,40
,Syria,61,61
Louisiana,,135,135
,Afghanistan,6,6
,Bhutan,3,3
,Burma,34,34
,Burundi,4,4
,Central African Republic,1,1
,Colombia,12,12
,Cuba,7,7
,Dem. Rep. Congo,16,16
,Eritrea,8,8
,Iraq,28,28
,Somalia,2,2
,Sudan,5,5
,Syria,8,8
,Yemen,1,1
Maine,,425,425
,Afghanistan,3,3
,Dem. Rep. Congo,20,20
,Eritrea,3,3
,Ethiopia,3,3
,Iran,1,1
,Iraq,206,206
,Somalia,189,189
Maryland,,"1,509","1,509"
,Afghanistan,19,19
,Belarus,4,4
,Bhutan,72,72
,Burma,562,562
,Burundi,44,44
,Central African Republic,12,12
,Cuba,7,7
,Dem. Rep. Congo,209,209
,Eritrea,134,134
,Ethiopia,31,31
,Guinea,1,1
,Iran,44,44
,Iraq,171,171
,Moldova,5,5
,Nepal,1,1
,Pakistan,4,4
,Russia,18,18
,Sierra Leone,1,1
,Somalia,18,18
,Sudan,114,114
,Syria,33,33
,Ukraine,2,2
,Yemen,3,3
Massachusetts,,"1,688","1,688"
,Afghanistan,32,32
,Belarus,4,4
,Bhutan,210,210
,Burma,68,68
,Burundi,41,41
,Cameroon,1,1
,Central African Republic,30,30
,China,4,4
,Cuba,2,2
,Dem. Rep. Congo,196,196
,Eritrea,36,36
,Ethiopia,28,28
,Guinea,1,1
,Iran,19,19
,Iraq,401,401
,Ivory Coast,1,1
,Jordan,1,1
,Kazakhstan,12,12
,Kyrgyzstan,14,14
,Moldova,29,29
,Nigeria,1,1
,Pakistan,1,1
,Palestine,6,6
,Republic of South Sudan,2,2
,Russia,1,1
,Rwanda,3,3
,Senegal,1,1
,Sierra Leone,1,1
,Somalia,394,394
,Sri Lanka (Ceylon),6,6
,Sudan,33,33
,Syria,70,70
,Uganda,5,5
,Ukraine,30,30
,Vietnam,1,1
,Yemen,2,2
,Zimbabwe,1,1
Michigan,,"3,012","3,012"
,Afghanistan,33,33
,Bhutan,121,121
,Burma,434,434
,Burundi,51,51
,Central African Republic,1,1
,Chad,1,1
,Colombia,4,4
,Congo,6,6
,Cuba,3,3
,Dem. Rep. Congo,245,245
,Egypt,1,1
,Eritrea,30,30
,Ethiopia,11,11
,Iran,22,22
,Iraq,"1,442","1,442"
,Nepal,1,1
,Nigeria,1,1
,Pakistan,1,1
,Republic of South Sudan,9,9
,Rwanda,11,11
,Saudi Arabia,1,1
,Somalia,287,287
,Sri Lanka (Ceylon),9,9
,Sudan,90,90
,Syria,179,179
,Tunisia,1,1
,Ukraine,7,7
,Yemen,8,8
,Zimbabwe,2,2
Minnesota,,"2,291","2,291"
,Belarus,1,1
,Bhutan,51,51
,Burma,908,908
,Congo,6,6
,Dem. Rep. Congo,31,31
,Djibouti,2,2
,Eritrea,17,17
,Ethiopia,50,50
,Iran,4,4
,Iraq,100,100
,Liberia,4,4
,Moldova,12,12
,Russia,8,8
,Saudi Arabia,1,1
,Somalia,"1,029","1,029"
,Sri Lanka (Ceylon),12,12
,Sudan,13,13
,Syria,7,7
,Ukraine,32,32
,Vietnam,3,3
Mississippi,,15,15
,Afghanistan,3,3
,Burma,1,1
,Dem. Rep. Congo,3,3
,Eritrea,7,7
,Republic of South Sudan,1,1
Missouri,,"1,431","1,431"
,Afghanistan,7,7
,Bhutan,85,85
,Burma,241,241
,Central African Republic,17,17
,Colombia,12,12
,Cuba,27,27
,Dem. Rep. Congo,321,321
,Eritrea,62,62
,Ethiopia,33,33
,Iran,6,6
,Iraq,225,225
,Moldova,4,4
,Nigeria,1,1
,Russia,8,8
,Rwanda,6,6
,Somalia,301,301
,Sudan,27,27
,Syria,29,29
,Uganda,1,1
,Ukraine,18,18
Nebraska,,"1,200","1,200"
,Bhutan,184,184
,Burma,652,652
,Burundi,4,4
,Congo,5,5
,Cuba,4,4
,Dem. Rep. Congo,9,9
,Iran,19,19
,Iraq,163,163
,Palestine,7,7
,Republic of South Sudan,26,26
,Somalia,88,88
,Sudan,22,22
,Ukraine,17,17
Nevada,,610,610
,Afghanistan,13,13
,Bhutan,8,8
,Burma,44,44
,Burundi,27,27
,Cameroon,1,1
,China,2,2
,Colombia,13,13
,Congo,2,2
,Cuba,37,37
,Dem. Rep. Congo,120,120
,Eritrea,63,63
,Ethiopia,26,26
,Gambia,1,1
,Iran,74,74
,Iraq,45,45
,Pakistan,2,2
,Rwanda,9,9
,Somalia,92,92
,Sudan,23,23
,Syria,8,8
New Hampshire,,446,446
,Bhutan,61,61
,Burma,58,58
,Burundi,25,25
,Dem. Rep. Congo,181,181
,Eritrea,1,1
,Iraq,60,60
,Pakistan,5,5
,Rwanda,8,8
,Somalia,32,32
,Sudan,12,12
,Syria,3,3
New Jersey,,314,314
,Afghanistan,5,5
,Bangladesh,1,1
,Burma,33,33
,Colombia,5,5
,Cuba,39,39
,Dem. Rep. Congo,12,12
,Eritrea,6,6
,Ethiopia,7,7
,Iran,5,5
,Iraq,72,72
,Liberia,1,1
,Moldova,4,4
,Pakistan,4,4
,Sierra Leone,1,1
,Somalia,18,18
,Sri Lanka (Ceylon),5,5
,Sudan,17,17
,Syria,73,73
,Ukraine,6,6
New Mexico,,207,207
,Afghanistan,36,36
,Burma,6,6
,Burundi,29,29
,Colombia,14,14
,Cuba,8,8
,Dem. Rep. Congo,41,41
,Iran,4,4
,Iraq,53,53
,Somalia,10,10
,Syria,6,6
New York,,"4,052","4,052"
,Afghanistan,82,82
,Armenia,1,1
,Azerbaijan,15,15
,Belarus,21,21
,Bhutan,495,495
,Burma,"1,263","1,263"
,Burundi,37,37
,Central African Republic,13,13
,Chad,1,1
,China,10,10
,Colombia,3,3
,Congo,6,6
,Cuba,44,44
,Dem. Rep. Congo,375,375
,Egypt,2,2
,Eritrea,57,57
,Ethiopia,21,21
,Gambia,1,1
,India,1,1
,Iran,25,25
,Iraq,430,430
,Ivory Coast,7,7
,Kuwait,4,4
,Moldova,8,8
,Nepal,1,1
,Pakistan,20,20
,Palestine,14,14
,Russia,31,31
,Rwanda,12,12
,Somalia,790,790
,Sri Lanka (Ceylon),7,7
,Sudan,103,103
,Syria,41,41
,Uganda,7,7
,Ukraine,97,97
,Uzbekistan,7,7
North Carolina,,"2,475","2,475"
,Afghanistan,31,31
,Azerbaijan,3,3
,Bhutan,216,216
,Burma,868,868
,Burundi,71,71
,Central African Republic,16,16
,China,1,1
,Colombia,45,45
,Cuba,50,50
,Dem. Rep. Congo,383,383
,Eritrea,65,65
,Ethiopia,42,42
,Iran,29,29
,Iraq,243,243
,Kazakhstan,11,11
,Moldova,29,29
,Nepal,5,5
,Pakistan,2,2
,Somalia,210,210
,Sri Lanka (Ceylon),3,3
,Sudan,73,73
,Syria,38,38
,Uganda,6,6
,Ukraine,30,30
,Vietnam,5,5
North Dakota,,497,497
,Afghanistan,2,2
,Bhutan,200,200
,Burma,4,4
,Dem. Rep. Congo,36,36
,Eritrea,3,3
,Ethiopia,10,10
,Iran,3,3
,Iraq,101,101
,Somalia,133,133
,Ukraine,5,5
Ohio,,"2,989","2,989"
,Afghanistan,30,30
,Belarus,1,1
,Bhutan,"1,070","1,070"
,Burma,296,296
,Burundi,55,55
,Central African Republic,15,15
,Colombia,14,14
,Congo,12,12
,Cuba,3,3
,Dem. Rep. Congo,228,228
,Eritrea,75,75
,Ethiopia,41,41
,Georgia,3,3
,Iran,16,16
,Iraq,404,404
,Kenya,1,1
,Liberia,3,3
,Nepal,1,1
,Pakistan,14,14
,Palestine,2,2
,Russia,11,11
,Rwanda,9,9
,Somalia,489,489
,Sri Lanka (Ceylon),1,1
,Sudan,82,82
,Syria,48,48
,Tunisia,1,1
,Uganda,7,7
,Ukraine,50,50
,Uzbekistan,5,5
,Zimbabwe,2,2
Oklahoma,,479,479
,Burma,400,400
,Dem. Rep. Congo,6,6
,Eritrea,14,14
,Iran,5,5
,Iraq,26,26
,Moldova,4,4
,Russia,4,4
,Sudan,5,5
,Syria,3,3
,Ukraine,12,12
Oregon,,"1,029","1,029"
,Afghanistan,9,9
,Belarus,13,13
,Bhutan,70,70
,Burma,260,260
,Central African Republic,1,1
,Colombia,9,9
,Dem. Rep. Congo,55,55
,Egypt,2,2
,Eritrea,10,10
,Ethiopia,3,3
,Iran,29,29
,Iraq,183,183
,Moldova,14,14
,Russia,14,14
,Rwanda,5,5
,Somalia,220,220
,Syria,1,1
,Uganda,2,2
,Ukraine,117,117
,Uzbekistan,4,4
,Vietnam,8,8
Pennsylvania,,"2,764","2,764"
,Afghanistan,47,47
,Bhutan,669,669
,Burma,397,397
,Burundi,23,23
,Central African Republic,37,37
,China,3,3
,Colombia,4,4
,Cuba,23,23
,Dem. Rep. Congo,472,472
,Eritrea,34,34
,Ethiopia,27,27
,Indonesia,2,2
,Iran,18,18
,Iraq,275,275
,Ivory Coast,6,6
,Kazakhstan,5,5
,Liberia,1,1
,Mali,1,1
,Namibia,1,1
,Nepal,9,9
,Pakistan,8,8
,Palestine,8,8
,Republic of South Sudan,5,5
,Russia,8,8
,Rwanda,23,23
,Somalia,376,376
,Sudan,74,74
,Syria,111,111
,Uganda,4,4
,Ukraine,93,93
Rhode Island,,185,185
,Angola,2,2
,Bhutan,2,2
,Burma,9,9
,Burundi,21,21
,Colombia,29,29
,Cuba,1,1
,Dem. Rep. Congo,37,37
,Eritrea,11,11
,Iraq,33,33
,Liberia,2,2
,Rwanda,3,3
,Somalia,35,35
South Carolina,,226,226
,Afghanistan,4,4
,Bhutan,4,4
,Burma,109,109
,Burundi,6,6
,Cuba,3,3
,Dem. Rep. Congo,37,37
,Eritrea,30,30
,Iran,5,5
,Iraq,21,21
,Pakistan,1,1
,Rwanda,4,4
,Ukraine,2,2
South Dakota,,484,484
,Bhutan,65,65
,Burma,152,152
,Burundi,12,12
,Dem. Rep. Congo,30,30
,Eritrea,30,30
,Ethiopia,7,7
,Iraq,9,9
,Somalia,138,138
,Sudan,41,41
Tennessee,,"1,530","1,530"
,Afghanistan,4,4
,Bhutan,139,139
,Burma,393,393
,Burundi,52,52
,Colombia,14,14
,Cuba,60,60
,Dem. Rep. Congo,210,210
,Eritrea,3,3
,Ethiopia,7,7
,Iran,12,12
,Iraq,299,299
,Pakistan,8,8
,Palestine,1,1
,Republic of South Sudan,11,11
,Russia,2,2
,Rwanda,1,1
,Somalia,215,215
,Sudan,57,57
,Syria,35,35
,Uganda,4,4
,Ukraine,3,3
Texas,,"7,479","7,479"
,Afghanistan,58,58
,Belarus,1,1
,Bhutan,421,421
,Burma,"2,737","2,737"
,Burundi,116,116
,Cameroon,1,1
,Central African Republic,8,8
,Chad,2,2
,Colombia,8,8
,Congo,1,1
,Cuba,119,119
,Dem. Rep. Congo,777,777
,Eritrea,174,174
,Ethiopia,20,20
,Iran,313,313
,Iraq,"1,837","1,837"
,Liberia,1,1
,Nepal,2,2
,Netherlands,1,1
,Nigeria,1,1
,Pakistan,10,10
,Palestine,1,1
,Republic of South Sudan,11,11
,Russia,1,1
,Rwanda,10,10
,Senegal,1,1
,Somalia,571,571
,South Africa,1,1
,Sri Lanka (Ceylon),4,4
,Sudan,83,83
,Syria,184,184
,Togo,1,1
,Ukraine,1,1
,Vietnam,2,2
Utah,,"1,109","1,109"
,Afghanistan,16,16
,Angola,1,1
,Belarus,1,1
,Bhutan,72,72
,Burma,248,248
,Burundi,34,34
,Central African Republic,2,2
,Cuba,2,2
,Dem. Rep. Congo,151,151
,Egypt,1,1
,Eritrea,30,30
,Ethiopia,13,13
,Iran,10,10
,Iraq,143,143
,"Korea, North",3,3
,Somalia,317,317
,Sudan,53,53
,Syria,12,12
Vermont,,312,312
,Bhutan,189,189
,Burma,7,7
,Burundi,6,6
,Congo,1,1
,Dem. Rep. Congo,31,31
,Iraq,20,20
,Nepal,3,3
,Somalia,55,55
Virginia,,"1,312","1,312"
,Afghanistan,38,38
,Bhutan,122,122
,Burma,68,68
,Burundi,44,44
,China,1,1
,Colombia,18,18
,Cuba,11,11
,Dem. Rep. Congo,216,216
,Eritrea,26,26
,Ethiopia,6,6
,Iran,107,107
,Iraq,504,504
,Ivory Coast,2,2
,Pakistan,9,9
,Russia,1,1
,Rwanda,2,2
,Somalia,62,62
,Sri Lanka (Ceylon),1,1
,Sudan,33,33
,Syria,13,13
,Turkmenistan,5,5
,Ukraine,19,19
,Uzbekistan,4,4
Washington,,"2,625","2,625"
,Afghanistan,19,19
,Belarus,6,6
,Bhutan,126,126
,Burma,417,417
,Burundi,25,25
,Central African Republic,11,11
,China,1,1
,Colombia,6,6
,Cuba,12,12
,Dem. Rep. Congo,157,157
,Eritrea,82,82
,Ethiopia,27,27
,Georgia,5,5
,Iran,138,138
,Iraq,529,529
,Jordan,1,1
,Kazakhstan,15,15
,Kenya,1,1
,Kyrgyzstan,1,1
,Moldova,98,98
,Palestine,1,1
,Russia,51,51
,Somalia,357,357
,Sri Lanka (Ceylon),5,5
,Sudan,26,26
,Syria,25,25
,Ukraine,469,469
,Uzbekistan,7,7
,Vietnam,7,7
West Virginia,,31,31
,Burma,6,6
,Eritrea,13,13
,Ethiopia,2,2
,Iraq,10,10
Wisconsin,,"1,415","1,415"
,Belarus,2,2
,Bhutan,18,18
,Burma,942,942
,Burundi,11,11
,Colombia,4,4
,Cuba,12,12
,Dem. Rep. Congo,79,79
,Eritrea,15,15
,Ethiopia,1,1
,Iran,3,3
,Iraq,140,140
,Somalia,178,178
,Sudan,9,9
,Syria,1,1
Total,,"69,933","69,933"
