Placement State,Nationality,FY 2013,Cumulative Total
,Vietnam,4,4
Mississippi,,3,3
,Burma,1,1
,Cuba,1,1
,Iran,1,1
Missouri,,"1,268","1,268"
,Bhutan,198,198
,Burma,268,268
,Central African Republic,7,7
,Congo,1,1
,Cuba,70,70
,Dem. Rep. Congo,56,56
,Eritrea,54,54
,Ethiopia,41,41
,Iran,17,17
,Iraq,187,187
,Nigeria,2,2
,Russia,1,1
,Rwanda,9,9
,Somalia,309,309
,Sudan,36,36
,Togo,8,8
,Ukraine,4,4
Nebraska,,997,997
,Bhutan,215,215
,Burma,572,572
,Cuba,10,10
,Eritrea,5,5
,Ethiopia,1,1
,Iran,5,5
,Iraq,76,76
,Somalia,34,34
,Sudan,66,66
,Ukraine,13,13
Nevada,,563,563
,Afghanistan,1,1
,Bhutan,20,20
,Burma,69,69
,Colombia,7,7
,Cuba,184,184
,Dem. Rep. Congo,6,6
,Eritrea,43,43
,Ethiopia,8,8
,Iran,44,44
,Iraq,113,113
,Rwanda,1,1
,Somalia,54,54
,Sudan,13,13
New Hampshire,,379,379
,Bhutan,157,157
,Burma,52,52
,Burundi,6,6
,Congo,3,3
,Dem. Rep. Congo,76,76
,Iraq,53,53
,Rwanda,6,6
,Somalia,15,15
,Sudan,8,8
,Ukraine,3,3
New Jersey,,443,443
,Afghanistan,3,3
,Bhutan,5,5
,Burma,67,67
,China,4,4
,Colombia,3,3
,Cuba,156,156
,Dem. Rep. Congo,4,4
,Eritrea,11,11
,Iran,11,11
,Iraq,128,128
,Liberia,1,1
,Pakistan,4,4
,Russia,2,2
,Rwanda,1,1
,Sudan,43,43
New Mexico,,293,293
,Afghanistan,13,13
,Bhutan,9,9
,Burma,38,38
,Burundi,1,1
,Colombia,3,3
,Cuba,44,44
,Dem. Rep. Congo,8,8
,Eritrea,3,3
,Iran,7,7
,Iraq,104,104
,Palestine,4,4
,Somalia,53,53
,Sudan,6,6
New York,,"3,965","3,965"
,Afghanistan,66,66
,Angola,6,6
,Azerbaijan,3,3
,Bhutan,757,757
,Burma,"1,309","1,309"
,Cambodia,12,12
,Central African Republic,27,27
,Chad,4,4
,China,32,32
,Congo,42,42
,Cuba,79,79
,Dem. Rep. Congo,59,59
,Eritrea,59,59
,Ethiopia,38,38
,Iran,32,32
,Iraq,599,599
,Kuwait,11,11
,Liberia,10,10
,Moldova,6,6
,Nepal,7,7
,Pakistan,7,7
,Palestine,22,22
,Russia,33,33
,Sierra Leone,1,1
,Somalia,539,539
,Sri Lanka (Ceylon),4,4
,Sudan,162,162
,Tajikistan,2,2
,Thailand,1,1
,Uganda,5,5
,Ukraine,18,18
,Uzbekistan,4,4
,Vietnam,7,7
,Zimbabwe,2,2
North Carolina,,"2,377","2,377"
,Afghanistan,17,17
,Bhutan,359,359
,Burma,955,955
,Central African Republic,11,11
,China,2,2
,Colombia,6,6
,Congo,5,5
,Cuba,90,90
,Dem. Rep. Congo,88,88
,Eritrea,118,118
,Ethiopia,38,38
,Iran,18,18
,Iraq,341,341
,Liberia,2,2
,Moldova,4,4
,Nepal,1,1
,Pakistan,22,22
,Republic of South Sudan,1,1
,Russia,2,2
,Somalia,150,150
,Sri Lanka (Ceylon),1,1
,Sudan,103,103
,Thailand,1,1
,Ukraine,1,1
,Vietnam,39,39
,Zimbabwe,2,2
North Dakota,,456,456
,Bhutan,268,268
,Chad,10,10
,Dem. Rep. Congo,19,19
,Eritrea,1,1
,Ethiopia,1,1
,Iraq,85,85
,Republic of South Sudan,1,1
,Somalia,66,66
,Sudan,5,5
Ohio,,"2,788","2,788"
,Afghanistan,10,10
,Bhutan,"1,205","1,205"
,Burma,215,215
,Burundi,15,15
,Colombia,13,13
,Congo,10,10
,Dem. Rep. Congo,105,105
,Eritrea,115,115
,Ethiopia,32,32
,Georgia,1,1
,Iran,8,8
,Iraq,426,426
,Ivory Coast,1,1
,Moldova,2,2
,Nepal,1,1
,Rwanda,12,12
,Somalia,501,501
,Sudan,104,104
,Ukraine,5,5
,Uzbekistan,5,5
,Zimbabwe,2,2
Oklahoma,,300,300
,Afghanistan,10,10
,Burma,251,251
,Cuba,6,6
,Ethiopia,1,1
,Iran,2,2
,Iraq,24,24
,Somalia,2,2
,Sudan,4,4
Oregon,,875,875
,Afghanistan,14,14
,Bhutan,121,121
,Burma,161,161
,Burundi,9,9
,Central African Republic,3,3
,Cuba,5,5
,Dem. Rep. Congo,49,49
,Eritrea,12,12
,Ethiopia,7,7
,Iran,19,19
,Iraq,244,244
,Moldova,6,6
,Russia,21,21
,Somalia,175,175
,Sudan,11,11
,Ukraine,18,18
Pennsylvania,,"2,507","2,507"
,Afghanistan,13,13
,Bhutan,"1,050","1,050"
,Burma,480,480
,Central African Republic,6,6
,Congo,8,8
,Cuba,55,55
,Dem. Rep. Congo,87,87
,Eritrea,61,61
,Ethiopia,15,15
,Guinea,1,1
,Iran,7,7
,Iraq,423,423
,Kazakhstan,5,5
,Liberia,20,20
,Moldova,7,7
,Nepal,2,2
,Palestine,1,1
,Russia,9,9
,Sierra Leone,1,1
,Somalia,94,94
,Sudan,117,117
,Syria,10,10
,Ukraine,29,29
,Uzbekistan,2,2
,Yemen,4,4
Puerto Rico,,3,3
,Cuba,3,3
Rhode Island,,171,171
,Bhutan,38,38
,Burma,15,15
,Burundi,15,15
,Dem. Rep. Congo,23,23
,Eritrea,23,23
,Ethiopia,2,2
,Iraq,25,25
,Liberia,9,9
,Rwanda,4,4
,Somalia,17,17
South Carolina,,148,148
,Bhutan,5,5
,Burma,67,67
,Eritrea,7,7
,Iraq,45,45
,Somalia,23,23
,Sudan,1,1
South Dakota,,533,533
,Bhutan,229,229
,Burma,170,170
,Dem. Rep. Congo,2,2
,Eritrea,30,30
,Ethiopia,2,2
,Iraq,30,30
,Liberia,6,6
,Somalia,49,49
,Sudan,5,5
,Ukraine,10,10
Tennessee,,"1,557","1,557"
,Bhutan,251,251
,Burma,418,418
,Burundi,1,1
,Colombia,20,20
,Congo,3,3
,Cuba,69,69
,Dem. Rep. Congo,33,33
,Eritrea,9,9
,Ethiopia,25,25
,Iran,35,35
,Iraq,389,389
,Moldova,4,4
,Pakistan,1,1
,Palestine,1,1
,Russia,1,1
,Rwanda,3,3
,Somalia,243,243
,Sudan,50,50
,Syria,1,1
Texas,,"7,475","7,475"
,Afghanistan,56,56
,Bhutan,890,890
,Burma,"2,290","2,290"
,Burundi,41,41
,Central African Republic,16,16
,Chad,10,10
,Congo,19,19
,Cuba,272,272
,Dem. Rep. Congo,549,549
,Egypt,1,1
,Eritrea,188,188
,Ethiopia,71,71
,Gambia,2,2
,Iran,280,280
,Iraq,"1,891","1,891"
,Jordan,2,2
,"Korea, North",3,3
,Liberia,7,7
,Mali,1,1
,Nepal,2,2
,Pakistan,30,30
,Palestine,20,20
,Republic of South Sudan,8,8
,Russia,2,2
,Rwanda,35,35
,Somalia,616,616
,Sri Lanka (Ceylon),2,2
,Sudan,144,144
,Syria,8,8
,Thailand,1,1
,Uganda,4,4
,Vietnam,13,13
,Zimbabwe,1,1
Utah,,"1,189","1,189"
,Afghanistan,18,18
,Bhutan,133,133
,Burma,217,217
,Burundi,15,15
,Chad,1,1
,China,1,1
,Colombia,2,2
,Cuba,2,2
,Dem. Rep. Congo,27,27
,Eritrea,23,23
,Ethiopia,7,7
,Guinea,4,4
,Iran,57,57
,Iraq,281,281
,Ivory Coast,1,1
,"Korea, North",3,3
,Moldova,9,9
,Nepal,1,1
,Pakistan,2,2
,Palestine,9,9
,Somalia,280,280
,Sri Lanka (Ceylon),18,18
,Sudan,77,77
,Thailand,1,1
Vermont,,322,322
,Bhutan,256,256
,Burma,17,17
,Dem. Rep. Congo,1,1
,Eritrea,1,1
,Iraq,18,18
,Rwanda,1,1
,Somalia,25,25
,Sudan,3,3
Virginia,,"1,472","1,472"
,Afghanistan,71,71
,Bhutan,213,213
,Burma,132,132
,China,6,6
,Colombia,36,36
,Congo,8,8
,Cuba,84,84
,Dem. Rep. Congo,49,49
,Eritrea,53,53
,Ethiopia,11,11
,India,1,1
,Iran,84,84
,Iraq,547,547
,Ivory Coast,5,5
,"Korea, North",1,1
,Kyrgyzstan,4,4
,Moldova,4,4
,Nepal,1,1
,Pakistan,13,13
,Palestine,11,11
,Rwanda,3,3
,Somalia,59,59
,Sudan,74,74
,Syria,2,2
Washington,,"2,414","2,414"
,Afghanistan,7,7
,Belarus,2,2
,Bhutan,185,185
,Burma,466,466
,Burundi,5,5
,Chad,1,1
,Colombia,15,15
,Cuba,52,52
,Dem. Rep. Congo,58,58
,Eritrea,86,86
,Ethiopia,65,65
,Gambia,1,1
,Guinea,3,3
,Iran,106,106
,Iraq,650,650
,Jordan,1,1
,Kazakhstan,6,6
,Kyrgyzstan,6,6
,Moldova,22,22
,Nepal,2,2
,Pakistan,7,7
,Palestine,5,5
,Russia,6,6
,Rwanda,13,13
,Somalia,474,474
,Sudan,101,101
,Togo,5,5
,Uganda,2,2
,Ukraine,54,54
,Uzbekistan,1,1
,Vietnam,7,7
West Virginia,,25,25
,Burma,7,7
,Eritrea,3,3
,Iran,5,5
,Iraq,10,10
Wisconsin,,946,946
,Afghanistan,1,1
,Bhutan,49,49
,Burma,501,501
,Burundi,6,6
,Cuba,13,13
,Dem. Rep. Congo,11,11
,Eritrea,28,28
,Ethiopia,3,3
,Iraq,160,160
,Somalia,148,148
,Sudan,15,15
,Uganda,1,1
,Ukraine,6,6
,Vietnam,4,4
Total,,"69,926","69,926"
