Placement State,Nationality,FY 2018,Cumulative Total
,Pakistan,3,3
District of Columbia,,1,1
,Eritrea,1,1
Florida,,591,591
,Afghanistan,11,11
,Bhutan,3,3
,Burma,30,30
,Burundi,8,8
,Central African Republic,2,2
,Colombia,36,36
,Congo,3,3
,Dem. Rep. Congo,261,261
,El Salvador,38,38
,Eritrea,68,68
,Ethiopia,16,16
,Guatemala,11,11
,Honduras,5,5
,Jamaica,1,1
,Pakistan,12,12
,Russia,28,28
,Rwanda,4,4
,Saudi Arabia,1,1
,Sri Lanka (Ceylon),3,3
,Sudan,1,1
,Syria,7,7
,Uganda,1,1
,Ukraine,37,37
,Vietnam,4,4
Georgia,,829,829
,Afghanistan,41,41
,Bhutan,108,108
,Burma,203,203
,Burundi,5,5
,Central African Republic,18,18
,Colombia,6,6
,Dem. Rep. Congo,298,298
,El Salvador,36,36
,Eritrea,41,41
,Ethiopia,10,10
,Honduras,2,2
,Iraq,1,1
,Moldova,2,2
,Nepal,1,1
,Niger,1,1
,Pakistan,18,18
,Republic of South Sudan,1,1
,Rwanda,4,4
,Somalia,4,4
,Syria,6,6
,Uganda,2,2
,Ukraine,17,17
,Vietnam,4,4
Idaho,,359,359
,Afghanistan,6,6
,Bhutan,20,20
,Burma,11,11
,Burundi,5,5
,Central African Republic,7,7
,Dem. Rep. Congo,230,230
,Eritrea,36,36
,Ethiopia,4,4
,Guinea,1,1
,Iraq,1,1
,Pakistan,4,4
,Russia,12,12
,Sudan,4,4
,Ukraine,18,18
Illinois,,708,708
,Afghanistan,27,27
,Bhutan,20,20
,Burma,242,242
,Burundi,9,9
,Cameroon,1,1
,Central African Republic,6,6
,China,1,1
,Colombia,8,8
,Dem. Rep. Congo,208,208
,El Salvador,5,5
,Eritrea,46,46
,Ethiopia,7,7
,Iraq,21,21
,Ivory Coast,1,1
,Moldova,12,12
,Pakistan,2,2
,Russia,5,5
,Rwanda,4,4
,Somalia,5,5
,Sri Lanka (Ceylon),1,1
,Sudan,4,4
,Syria,3,3
,Uganda,3,3
,Ukraine,60,60
,Vietnam,6,6
,Zimbabwe,1,1
Indiana,,493,493
,Burma,299,299
,Burundi,1,1
,Central African Republic,3,3
,Dem. Rep. Congo,128,128
,El Salvador,6,6
,Eritrea,20,20
,Iraq,1,1
,Pakistan,2,2
,Somalia,4,4
,South Africa,1,1
,Sudan,10,10
,Ukraine,18,18
Iowa,,538,538
,Bhutan,60,60
,Burma,124,124
,Burundi,10,10
,Dem. Rep. Congo,256,256
,El Salvador,2,2
,Eritrea,71,71
,Ethiopia,4,4
,Nepal,1,1
,Rwanda,1,1
,Sudan,9,9
Kansas,,383,383
,Afghanistan,10,10
,Bhutan,10,10
,Burma,87,87
,Dem. Rep. Congo,221,221
,Eritrea,36,36
,Somalia,11,11
,Ukraine,8,8
Kentucky,,896,896
,Afghanistan,2,2
,Bhutan,94,94
,Burma,133,133
,Burundi,16,16
,Dem. Rep. Congo,551,551
,Eritrea,18,18
,Ethiopia,1,1
,Iraq,4,4
,"Korea, North",1,1
,Nepal,3,3
,New Zealand,5,5
,Pakistan,4,4
,Rwanda,9,9
,Somalia,9,9
,Uganda,1,1
,Ukraine,45,45
Louisiana,,28,28
,Burma,6,6
,Central African Republic,6,6
,Dem. Rep. Congo,4,4
,Eritrea,5,5
,Honduras,2,2
,Iraq,1,1
,Vietnam,4,4
Maine,,62,62
,Dem. Rep. Congo,40,40
,Eritrea,1,1
,Ethiopia,5,5
,Iraq,9,9
,Somalia,7,7
Maryland,,465,465
,Afghanistan,28,28
,Bhutan,18,18
,Burma,31,31
,Colombia,5,5
,Dem. Rep. Congo,141,141
,El Salvador,83,83
,Eritrea,62,62
,Ethiopia,27,27
,Ghana,2,2
,Honduras,1,1
,Kazakhstan,2,2
,Moldova,1,1
,Pakistan,40,40
,Sri Lanka (Ceylon),1,1
,Sudan,10,10
,Uganda,1,1
,Ukraine,11,11
,Vietnam,1,1
Massachusetts,,464,464
,Afghanistan,18,18
,Belarus,16,16
,Bhutan,51,51
,Burma,7,7
,Burundi,9,9
,Central African Republic,8,8
,Dem. Rep. Congo,135,135
,Egypt,1,1
,El Salvador,56,56
,Eritrea,16,16
,Ethiopia,13,13
,Guatemala,6,6
,Guinea,2,2
,Honduras,3,3
,Iraq,6,6
,Kazakhstan,5,5
,Moldova,15,15
,Nepal,1,1
,Republic of South Sudan,4,4
,Russia,11,11
,Senegal,1,1
,Somalia,6,6
,Sri Lanka (Ceylon),2,2
,Syria,1,1
,Uganda,1,1
,Ukraine,69,69
,Uzbekistan,1,1
Michigan,,647,647
,Afghanistan,51,51
,Bhutan,92,92
,Burma,96,96
,Burundi,8,8
,Cameroon,2,2
,Central African Republic,2,2
,Dem. Rep. Congo,279,279
,Eritrea,27,27
,Ethiopia,5,5
,Guinea,2,2
,Iraq,8,8
,Kenya,1,1
,Nepal,1,1
,Nigeria,1,1
,Pakistan,13,13
,Rwanda,2,2
,Senegal,1,1
,Somalia,3,3
,Sri Lanka (Ceylon),1,1
,Sudan,3,3
,Syria,4,4
,Ukraine,45,45
Minnesota,,723,723
,Belarus,18,18
,Bhutan,28,28
,Burma,313,313
,Dem. Rep. Congo,87,87
,El Salvador,10,10
,Eritrea,24,24
,Ethiopia,86,86
,Guatemala,1,1
,Iran,3,3
,Iraq,1,1
,Kazakhstan,9,9
,Kuwait,1,1
,Moldova,4,4
,Russia,13,13
,Senegal,1,1
,Somalia,80,80
,Sri Lanka (Ceylon),1,1
,Ukraine,41,41
,Yemen,2,2
Mississippi,,3,3
,Dem. Rep. Congo,2,2
,Eritrea,1,1
Missouri,,482,482
,Afghanistan,15,15
,Bhutan,9,9
,Burma,47,47
,Burundi,4,4
,Congo,1,1
,Dem. Rep. Congo,307,307
,Eritrea,36,36
,Ethiopia,6,6
,Iraq,1,1
,Pakistan,7,7
,Somalia,8,8
,Sudan,1,1
,Ukraine,35,35
,Vietnam,5,5
Montana,,115,115
,Dem. Rep. Congo,77,77
,Eritrea,38,38
Nebraska,,343,343
,Afghanistan,10,10
,Bhutan,109,109
,Burma,138,138
,Dem. Rep. Congo,31,31
,El Salvador,5,5
,Ethiopia,9,9
,Iraq,6,6
,Nepal,1,1
,Somalia,5,5
,Ukraine,29,29
Nevada,,213,213
,Afghanistan,20,20
,Bhutan,8,8
,Cameroon,3,3
,Colombia,1,1
,Dem. Rep. Congo,99,99
,El Salvador,4,4
,Eritrea,42,42
,Ethiopia,11,11
,Iran,3,3
,Iraq,3,3
,Niger,1,1
,Pakistan,10,10
,Senegal,4,4
,Syria,3,3
,Uganda,1,1
New Hampshire,,162,162
,Bhutan,30,30
,Burma,19,19
,Dem. Rep. Congo,103,103
,Nepal,1,1
,Somalia,8,8
,Ukraine,1,1
New Jersey,,163,163
,Burma,5,5
,Burundi,6,6
,Colombia,11,11
,Dem. Rep. Congo,41,41
,El Salvador,19,19
,Eritrea,8,8
,Ethiopia,3,3
,Guatemala,8,8
,Iraq,1,1
,Kyrgyzstan,1,1
,Moldova,4,4
,Pakistan,26,26
,Russia,11,11
,Rwanda,2,2
,Sri Lanka (Ceylon),13,13
,Uganda,1,1
,Ukraine,3,3
New Mexico,,65,65
,Afghanistan,15,15
,Burundi,10,10
,Dem. Rep. Congo,35,35
,Rwanda,2,2
,Vietnam,3,3
New York,,"1,281","1,281"
,Afghanistan,56,56
,Algeria,1,1
,Belarus,22,22
,Bhutan,115,115
,Burma,217,217
,Burundi,22,22
,Central African Republic,3,3
,Chad,1,1
,China,4,4
,Colombia,5,5
,Dem. Rep. Congo,429,429
,El Salvador,19,19
,Eritrea,57,57
,Ethiopia,7,7
,Honduras,7,7
,India,1,1
,Iraq,1,1
,Kyrgyzstan,5,5
,Moldova,5,5
,Pakistan,37,37
,Philippines,1,1
,Republic of South Sudan,1,1
,Russia,64,64
,Rwanda,1,1
,Somalia,2,2
,Sri Lanka (Ceylon),6,6
,Sudan,2,2
,Syria,6,6
,Uganda,2,2
,Ukraine,175,175
,Uzbekistan,7,7
North Carolina,,937,937
,Afghanistan,24,24
,Belarus,7,7
,Bhutan,68,68
,Burma,178,178
,Central African Republic,14,14
,Colombia,5,5
,Dem. Rep. Congo,389,389
,El Salvador,52,52
,Eritrea,50,50
,Ethiopia,13,13
,Guatemala,2,2
,Iraq,2,2
,Moldova,4,4
,Pakistan,23,23
,Russia,11,11
,Rwanda,3,3
,Somalia,1,1
,Sri Lanka (Ceylon),1,1
,Sudan,8,8
,Syria,2,2
,Uganda,3,3
,Ukraine,69,69
,Vietnam,8,8
North Dakota,,162,162
,Afghanistan,10,10
,Angola,1,1
,Bhutan,96,96
,Dem. Rep. Congo,47,47
,Eritrea,1,1
,Ukraine,7,7
Ohio,,"1,406","1,406"
,Afghanistan,28,28
,Bhutan,628,628
,Burma,44,44
,Burundi,3,3
,Central African Republic,7,7
,Dem. Rep. Congo,392,392
,El Salvador,11,11
,Eritrea,65,65
,Ethiopia,2,2
,Iraq,5,5
,Ivory Coast,3,3
,Kyrgyzstan,2,2
,Liberia,2,2
,Pakistan,28,28
,Republic of South Sudan,6,6
,Rwanda,3,3
,Somalia,14,14
,Syria,2,2
,Uganda,5,5
,Ukraine,147,147
,Uzbekistan,9,9
Oklahoma,,92,92
,Burma,63,63
,Dem. Rep. Congo,5,5
,Eritrea,8,8
,Honduras,5,5
,Russia,9,9
,Ukraine,2,2
Oregon,,437,437
,Afghanistan,3,3
,Armenia,1,1
,Bhutan,23,23
,Burma,74,74
,Burundi,4,4
,Central African Republic,7,7
,Dem. Rep. Congo,71,71
,El Salvador,1,1
,Eritrea,1,1
,Ethiopia,5,5
,Iran,1,1
,Iraq,3,3
,Kazakhstan,1,1
,Kyrgyzstan,1,1
,Moldova,17,17
,Pakistan,4,4
,Republic of South Sudan,1,1
,Russia,24,24
,Sri Lanka (Ceylon),1,1
,Syria,4,4
,Uganda,1,1
,Ukraine,189,189
Pennsylvania,,908,908
,Afghanistan,12,12
,Belarus,19,19
,Bhutan,256,256
,Burma,37,37
,Cameroon,1,1
,Central African Republic,2,2
,Dem. Rep. Congo,319,319
,El Salvador,2,2
,Eritrea,46,46
,Ethiopia,19,19
,Ivory Coast,3,3
,Kyrgyzstan,2,2
,Liberia,2,2
,Libya,1,1
,Pakistan,45,45
,Russia,11,11
,Rwanda,13,13
,Somalia,1,1
,Sudan,1,1
,Syria,4,4
,Turkmenistan,5,5
,Uganda,2,2
,Ukraine,105,105
Rhode Island,,86,86
,Afghanistan,4,4
,Burundi,2,2
,Colombia,3,3
,Dem. Rep. Congo,55,55
,El Salvador,1,1
,Eritrea,9,9
,Iraq,3,3
,Liberia,1,1
,Somalia,1,1
,Ukraine,7,7
South Carolina,,108,108
,Afghanistan,4,4
,Belarus,13,13
,Burma,8,8
,Cameroon,4,4
,Dem. Rep. Congo,48,48
,Eritrea,5,5
,Ukraine,18,18
,Vietnam,8,8
South Dakota,,206,206
,Bhutan,65,65
,Burma,24,24
,Dem. Rep. Congo,28,28
,El Salvador,4,4
,Eritrea,38,38
,Ethiopia,12,12
,Russia,2,2
,Somalia,8,8
,Sudan,1,1
,Ukraine,24,24
Tennessee,,420,420
,Afghanistan,6,6
,Bhutan,44,44
,Burma,46,46
,Burundi,11,11
,Colombia,13,13
,Dem. Rep. Congo,233,233
,El Salvador,7,7
,Eritrea,12,12
,Ethiopia,1,1
,Honduras,5,5
,Iraq,4,4
,Pakistan,2,2
,Russia,4,4
,Rwanda,7,7
,Somalia,4,4
,Sudan,1,1
,Ukraine,17,17
,Zimbabwe,3,3
Texas,,"1,696","1,696"
,Afghanistan,52,52
,Bhutan,85,85
,Burma,443,443
,Burundi,32,32
,Cameroon,1,1
,Colombia,16,16
,Dem. Rep. Congo,690,690
,El Salvador,81,81
,Eritrea,107,107
,Ethiopia,12,12
,Guatemala,2,2
,Honduras,12,12
,Iran,10,10
,Iraq,25,25
,Ivory Coast,4,4
,Nepal,3,3
,Pakistan,37,37
,Rwanda,23,23
,Senegal,1,1
,Somalia,9,9
,Sri Lanka (Ceylon),1,1
,Sudan,13,13
,Syria,1,1
,Uganda,3,3
,Vietnam,25,25
,Zimbabwe,8,8
Utah,,320,320
,Afghanistan,5,5
,Bhutan,14,14
,Burma,44,44
,Burundi,9,9
,Central African Republic,14,14
,Dem. Rep. Congo,160,160
,El Salvador,2,2
,Eritrea,23,23
,Ethiopia,16,16
,Guinea,3,3
,Iraq,1,1
,"Korea, North",2,2
,Pakistan,3,3
,Rwanda,5,5
,Somalia,19,19
Vermont,,133,133
,Bhutan,54,54
,Burma,3,3
,Dem. Rep. Congo,76,76
Virginia,,439,439
,Afghanistan,56,56
,Belarus,1,1
,Bhutan,38,38
,Burma,9,9
,Burundi,6,6
,Colombia,2,2
,Dem. Rep. Congo,192,192
,El Salvador,68,68
,Eritrea,22,22
,Ethiopia,2,2
,Honduras,2,2
,Iraq,4,4
,Ivory Coast,1,1
,Pakistan,21,21
,Russia,2,2
,Somalia,2,2
,Sri Lanka (Ceylon),1,1
,Syria,2,2
,Ukraine,4,4
,Vietnam,4,4
Washington,,"1,552","1,552"
,Afghanistan,7,7
,Belarus,38,38
,Bhutan,27,27
,Burma,56,56
,Cameroon,1,1
,Central African Republic,9,9
,China,1,1
,Colombia,5,5
,Dem. Rep. Congo,84,84
,Djibouti,1,1
,El Salvador,5,5
,Eritrea,43,43
,Ethiopia,21,21
,Georgia,1,1
,Iran,3,3
,Iraq,4,4
,Kazakhstan,10,10
,Kenya,2,2
,Kyrgyzstan,1,1
,Moldova,64,64
,Pakistan,3,3
,Russia,130,130
,Rwanda,6,6
,Senegal,3,3
,Somalia,9,9
,Sudan,3,3
,Ukraine,"1,004","1,004"
,Uzbekistan,4,4
,Vietnam,7,7
West Virginia,,1,1
,Uganda,1,1
Wisconsin,,404,404
,Afghanistan,7,7
,Burma,280,280
,Dem. Rep. Congo,70,70
,Eritrea,1,1
,Honduras,2,2
,Pakistan,20,20
,Rwanda,3,3
,Somalia,18,18
,Ukraine,3,3
Total,,"22,491","22,491"
