Placement State,Nationality,FY 2020,Cumulative Total
,Somalia,1,1
,Syria,13,13
,Ukraine,10,10
Louisiana,,4,4
,Eritrea,1,1
,Honduras,3,3
Maine,,44,44
,Afghanistan,3,3
,Dem. Rep. Congo,11,11
,Iraq,23,23
,Rwanda,3,3
,Somalia,3,3
,Sudan,1,1
Maryland,,246,246
,Afghanistan,8,8
,Burma,19,19
,Colombia,6,6
,Dem. Rep. Congo,54,54
,El Salvador,37,37
,Eritrea,23,23
,Ethiopia,1,1
,Guatemala,22,22
,Honduras,1,1
,Iran,2,2
,Iraq,6,6
,Ivory Coast,2,2
,Pakistan,26,26
,Republic of South Sudan,2,2
,Russia,7,7
,Senegal,3,3
,Somalia,1,1
,Sudan,7,7
,Syria,8,8
,Uganda,4,4
,Ukraine,7,7
Massachusetts,,291,291
,Afghanistan,14,14
,Bangladesh,1,1
,Burma,18,18
,Central African Republic,8,8
,Colombia,3,3
,Dem. Rep. Congo,75,75
,El Salvador,22,22
,Eritrea,4,4
,Guatemala,20,20
,Honduras,9,9
,Iran,2,2
,Iraq,20,20
,Jamaica,1,1
,Liberia,4,4
,Moldova,22,22
,Republic of South Sudan,5,5
,Somalia,5,5
,Sri Lanka (Ceylon),1,1
,Sudan,1,1
,Syria,5,5
,Uganda,1,1
,Ukraine,49,49
,Yemen,1,1
Michigan,,493,493
,Afghanistan,54,54
,Burma,38,38
,Central African Republic,5,5
,Colombia,3,3
,Dem. Rep. Congo,202,202
,El Salvador,1,1
,Eritrea,25,25
,Ethiopia,1,1
,Honduras,4,4
,Iran,1,1
,Iraq,103,103
,Pakistan,5,5
,Rwanda,3,3
,Senegal,2,2
,Somalia,1,1
,Sri Lanka (Ceylon),1,1
,Sudan,11,11
,Syria,24,24
,Ukraine,9,9
Minnesota,,386,386
,Burma,187,187
,Dem. Rep. Congo,10,10
,Djibouti,2,2
,El Salvador,2,2
,Eritrea,6,6
,Ethiopia,22,22
,Honduras,1,1
,Iraq,13,13
,Kenya,1,1
,Liberia,6,6
,Moldova,15,15
,Somalia,48,48
,Syria,6,6
,Ukraine,67,67
Mississippi,,8,8
,Afghanistan,2,2
,Burma,1,1
,Eritrea,4,4
,Sudan,1,1
Missouri,,216,216
,Afghanistan,6,6
,Burma,40,40
,Central African Republic,4,4
,Dem. Rep. Congo,102,102
,Eritrea,10,10
,Ethiopia,3,3
,Iraq,15,15
,Somalia,13,13
,Sudan,5,5
,Syria,6,6
,Ukraine,12,12
Montana,,36,36
,Dem. Rep. Congo,23,23
,Eritrea,2,2
,Syria,11,11
Nebraska,,175,175
,Afghanistan,1,1
,Burma,95,95
,Dem. Rep. Congo,8,8
,El Salvador,1,1
,Eritrea,3,3
,Ethiopia,6,6
,Guatemala,4,4
,Iran,1,1
,Iraq,15,15
,Russia,5,5
,Somalia,3,3
,Sudan,13,13
,Ukraine,20,20
Nevada,,81,81
,Afghanistan,8,8
,Colombia,6,6
,Dem. Rep. Congo,18,18
,El Salvador,8,8
,Eritrea,8,8
,Guatemala,1,1
,Iran,7,7
,Iraq,12,12
,Nepal,1,1
,Pakistan,2,2
,Senegal,2,2
,Syria,4,4
,Uganda,4,4
New Hampshire,,58,58
,Burma,8,8
,Dem. Rep. Congo,42,42
,Guatemala,5,5
,Ukraine,3,3
New Jersey,,124,124
,Afghanistan,9,9
,Colombia,23,23
,Cuba,1,1
,Dem. Rep. Congo,11,11
,El Salvador,13,13
,Eritrea,11,11
,Guatemala,6,6
,Honduras,1,1
,Iraq,1,1
,Pakistan,5,5
,Sri Lanka (Ceylon),15,15
,Sudan,10,10
,Syria,13,13
,Ukraine,2,2
,Venezuela,3,3
New Mexico,,27,27
,Central African Republic,2,2
,Dem. Rep. Congo,25,25
New York,,623,623
,Afghanistan,33,33
,Armenia,2,2
,Bhutan,3,3
,Burma,131,131
,Burundi,1,1
,Cameroon,1,1
,Central African Republic,10,10
,Colombia,17,17
,Congo,1,1
,Dem. Rep. Congo,114,114
,El Salvador,16,16
,Eritrea,37,37
,Ethiopia,1,1
,Guatemala,6,6
,Iran,1,1
,Iraq,13,13
,Jamaica,1,1
,Moldova,8,8
,Nepal,1,1
,Pakistan,16,16
,Republic of South Sudan,1,1
,Russia,3,3
,Sierra Leone,1,1
,Somalia,14,14
,Sri Lanka (Ceylon),8,8
,Sudan,14,14
,Syria,45,45
,Uganda,3,3
,Ukraine,121,121
North Carolina,,469,469
,Afghanistan,9,9
,Burma,66,66
,Burundi,2,2
,Central African Republic,19,19
,Colombia,15,15
,Dem. Rep. Congo,74,74
,El Salvador,21,21
,Eritrea,13,13
,Ethiopia,9,9
,Guatemala,41,41
,Guinea,2,2
,Honduras,11,11
,Iran,1,1
,Iraq,23,23
,Jamaica,1,1
,Moldova,29,29
,Pakistan,17,17
,Russia,3,3
,Rwanda,2,2
,Sri Lanka (Ceylon),2,2
,Sudan,19,19
,Syria,37,37
,Ukraine,46,46
,Venezuela,5,5
,Vietnam,2,2
North Dakota,,47,47
,Dem. Rep. Congo,15,15
,Eritrea,9,9
,Ethiopia,1,1
,Iraq,1,1
,Republic of South Sudan,3,3
,Somalia,9,9
,Syria,1,1
,Ukraine,8,8
Ohio,,427,427
,Afghanistan,32,32
,Bhutan,4,4
,Burma,37,37
,Burundi,11,11
,Colombia,22,22
,Dem. Rep. Congo,142,142
,Egypt,1,1
,El Salvador,8,8
,Eritrea,24,24
,Ethiopia,20,20
,Guatemala,5,5
,Iraq,18,18
,Lebanon,2,2
,Moldova,3,3
,Nepal,2,2
,Pakistan,1,1
,Russia,3,3
,Somalia,10,10
,Sudan,3,3
,Syria,15,15
,Uganda,1,1
,Ukraine,63,63
Oklahoma,,103,103
,Burma,96,96
,Iraq,1,1
,Syria,6,6
Oregon,,202,202
,Armenia,4,4
,Burma,40,40
,Dem. Rep. Congo,22,22
,Eritrea,3,3
,Ethiopia,1,1
,Iran,1,1
,Iraq,7,7
,Moldova,20,20
,Russia,8,8
,Somalia,1,1
,Sudan,4,4
,Ukraine,91,91
Pennsylvania,,444,444
,Afghanistan,16,16
,Bangladesh,1,1
,Burma,54,54
,Burundi,2,2
,Cameroon,1,1
,Central African Republic,1,1
,Colombia,2,2
,Dem. Rep. Congo,104,104
,El Salvador,7,7
,Eritrea,40,40
,Guatemala,7,7
,Honduras,5,5
,India,1,1
,Iran,12,12
,Iraq,8,8
,Ivory Coast,4,4
,Kazakhstan,6,6
,Pakistan,33,33
,Republic of South Sudan,1,1
,Russia,2,2
,Senegal,1,1
,Somalia,4,4
,Sudan,6,6
,Syria,35,35
,Tanzania,1,1
,Ukraine,90,90
Rhode Island,,60,60
,Burundi,5,5
,Colombia,5,5
,Dem. Rep. Congo,25,25
,Iraq,1,1
,Liberia,11,11
,Russia,3,3
,Rwanda,2,2
,Syria,5,5
,Ukraine,3,3
South Carolina,,57,57
,Afghanistan,3,3
,Burma,5,5
,Dem. Rep. Congo,9,9
,El Salvador,2,2
,Moldova,3,3
,Sri Lanka (Ceylon),1,1
,Ukraine,34,34
South Dakota,,50,50
,Burma,8,8
,Burundi,1,1
,Dem. Rep. Congo,19,19
,Eritrea,3,3
,Ethiopia,4,4
,Liberia,4,4
,Sudan,1,1
,Ukraine,10,10
Tennessee,,182,182
,Afghanistan,6,6
,Burma,26,26
,Colombia,10,10
,Dem. Rep. Congo,91,91
,El Salvador,4,4
,Guatemala,5,5
,Honduras,4,4
,Iraq,7,7
,Republic of South Sudan,4,4
,Sudan,21,21
,Uganda,1,1
,Ukraine,3,3
Texas,,902,902
,Afghanistan,46,46
,Burma,214,214
,Burundi,3,3
,Cameroon,1,1
,Central African Republic,1,1
,Colombia,6,6
,Cuba,4,4
,Dem. Rep. Congo,282,282
,El Salvador,44,44
,Eritrea,58,58
,Ethiopia,8,8
,Guatemala,30,30
,Honduras,20,20
,Iran,38,38
,Iraq,57,57
,Pakistan,12,12
,Rwanda,1,1
,Senegal,2,2
,Somalia,3,3
,Sri Lanka (Ceylon),8,8
,Sudan,19,19
,Syria,34,34
,Uganda,1,1
,Ukraine,8,8
,Venezuela,2,2
Utah,,186,186
,Afghanistan,1,1
,Burma,24,24
,Burundi,8,8
,Central African Republic,9,9
,Dem. Rep. Congo,68,68
,Eritrea,15,15
,Ethiopia,7,7
,Guatemala,5,5
,Iraq,5,5
,Ivory Coast,9,9
,Pakistan,5,5
,Palestine,3,3
,Republic of South Sudan,5,5
,Somalia,1,1
,Sudan,13,13
,Vietnam,8,8
Vermont,,23,23
,Burma,4,4
,Dem. Rep. Congo,14,14
,Somalia,5,5
Virginia,,244,244
,Afghanistan,50,50
,Armenia,6,6
,Burma,8,8
,Burundi,1,1
,Dem. Rep. Congo,54,54
,El Salvador,34,34
,Eritrea,15,15
,Ethiopia,1,1
,Guatemala,5,5
,Honduras,6,6
,Iraq,14,14
,Ivory Coast,8,8
,"Korea, North",1,1
,Pakistan,2,2
,Republic of South Sudan,6,6
,Syria,24,24
,Ukraine,9,9
Washington,,"1,108","1,108"
,Afghanistan,8,8
,Armenia,1,1
,Burma,29,29
,Central African Republic,5,5
,Colombia,2,2
,Dem. Rep. Congo,21,21
,El Salvador,8,8
,Eritrea,31,31
,Ethiopia,14,14
,Iran,11,11
,Iraq,18,18
,Kazakhstan,11,11
,Lebanon,1,1
,Mali,1,1
,Moldova,133,133
,Russia,82,82
,Senegal,1,1
,Somalia,10,10
,Sudan,1,1
,Syria,4,4
,Tunisia,1,1
,Ukraine,715,715
West Virginia,,2,2
,Uganda,2,2
Wisconsin,,249,249
,Burma,196,196
,Dem. Rep. Congo,27,27
,Iraq,13,13
,Pakistan,3,3
,Sudan,1,1
,Syria,4,4
,Ukraine,3,3
,Vietnam,2,2
Total,,"11,814","11,814"
